,corpus,corpus_year,query_source,query_year,query,query_topicID,best_match,best_match_score,best_match_topicID
0,Academic,2019,Medium,2014,"['disorder', 'symptom', 'therapy', 'treatment', 'therapist', 'patient', 'trigger', 'treat', 'medical', 'common']",0,"['treatment', 'intervention', 'group', 'effect', 'outcome', 'patient', 'symptom', 'therapy', 'week', 'trial']",0.7290691137313843,3
1,Academic,2019,Medium,2014,"['pain', 'suffer', 'sadness', 'hospital', 'sad', 'depressed', 'depress', 'hide', 'suicide', 'suffering']",1,"['health', 'mental', 'care', 'internalize', 'experience', 'service', 'support', 'people', 'need', 'live']",0.6543320417404175,0
2,Academic,2019,Medium,2014,"['speak', 'music', 'sound', 'voice', 'wear', 'eye', 'car', 'air', 'foot', 'color']",2,"['brain', 'behavior', 'group', 'increase', 'pregnancy', 'response', 'task', 'emotional', 'stimulus', 'affective']",0.46893778443336487,9
3,Academic,2019,Medium,2014,"['negative', 'positive', 'energy', 'peace', 'thinking', 'awareness', 'relax', 'attention', 'listen', 'physical']",3,"['brain', 'behavior', 'group', 'increase', 'pregnancy', 'response', 'task', 'emotional', 'stimulus', 'affective']",0.717146635055542,9
4,Academic,2019,Medium,2014,"['panic_attack', 'attack', 'doctor', 'test', 'medication', 'panic', 'drug', 'medicine', 'psychiatrist', 'disease']",4,"['health', 'mental', 'care', 'internalize', 'experience', 'service', 'support', 'people', 'need', 'live']",0.5883387923240662,0
5,Academic,2019,Medium,2014,"['relationship', 'choose', 'action', 'challenge', 'goal', 'choice', 'power', 'build', 'overcome', 'decision']",5,"['social', 'symptom', 'associate', 'relationship', 'association', 'sleep', 'predict', 'risk', 'examine', 'level']",0.6188927888870239,8
6,Academic,2019,Medium,2014,"['hurt', 'reality', 'soul', 'future', 'truth', 'afraid', 'present', 'accept', 'true', 'answer']",6,"['self', 'measure', 'cognitive', 'research', 'include', 'model', 'scale', 'assess', 'well', 'present']",0.5736955404281616,5
7,Academic,2019,Medium,2014,"['bed', 'dream', 'wake', 'eat', 'cry', 'light', 'morning', 'eye', 'finally', 'house']",7,"['social', 'symptom', 'associate', 'relationship', 'association', 'sleep', 'predict', 'risk', 'examine', 'level']",0.6312280297279358,8
8,Academic,2019,Medium,2014,"['response', 'human', 'system', 'emotional', 'safe', 'death', 'normal', 'fight', 'crisis', 'news']",8,"['health', 'mental', 'care', 'internalize', 'experience', 'service', 'support', 'people', 'need', 'live']",0.667776346206665,0
9,Academic,2019,Medium,2014,"['breath', 'breathe', 'breathing', 'anger', 'yoga', 'notice', 'chest', 'technique', 'exhale', 'muscle']",9,"['stress', 'woman', 'maternal', 'attachment', 'mother', 'postpartum', 'acute', 'mindfulness', 'infant', 'addiction']",0.6071822643280029,6
10,Academic,2019,Medium,2014,"['man', 'exam', 'study', 'professor', 'desire', 'interview', 'animal', 'track', 'law', 'destroy']",10,"['self', 'measure', 'cognitive', 'research', 'include', 'model', 'scale', 'assess', 'well', 'present']",0.5380167365074158,5
11,Academic,2019,Medium,2014,"['book', 'story', 'watch', 'post', 'social_media', 'play', 'god', 'game', 'article', 'bit']",11,"['brain', 'behavior', 'group', 'increase', 'pregnancy', 'response', 'task', 'emotional', 'stimulus', 'affective']",0.5594590902328491,9
12,Academic,2019,Medium,2014,"['psychological', 'journal', 'interaction', 'belief', 'clinical', 'analyze', 'transform', 'subconscious', 'perception', 'psychology']",12,"['brain', 'behavior', 'group', 'increase', 'pregnancy', 'response', 'task', 'emotional', 'stimulus', 'affective']",0.6823482513427734,9
13,Academic,2019,Medium,2014,"['social', 'support', 'group', 'uncertainty', 'individual', 'resource', 'society', 'result', 'seek', 'country']",13,"['health', 'mental', 'care', 'internalize', 'experience', 'service', 'support', 'people', 'need', 'live']",0.6419057846069336,0
14,Academic,2019,Medium,2014,"['plan', 'manage', 'set', 'list', 'task', 'avoid', 'morning', 'tip', 'routine', 'business']",14,"['brain', 'behavior', 'group', 'increase', 'pregnancy', 'response', 'task', 'emotional', 'stimulus', 'affective']",0.6050561666488647,9
15,Academic,2019,Medium,2014,"['meditation', 'com', 'https', 'mindfulness', 'meditate', 'originally_publishe', 'present', 'org', 'mindful', 'tool']",15,"['stress', 'woman', 'maternal', 'attachment', 'mother', 'postpartum', 'acute', 'mindfulness', 'infant', 'addiction']",0.7059054970741272,6
16,Academic,2019,Medium,2014,"['child', 'parent', 'kid', 'student', 'school', 'young', 'college', 'class', 'teacher', 'mom']",16,"['child', 'adolescent', 'parent', 'behavior', 'age', 'youth', 'problem', 'school', 'report', 'parental']",0.8062454462051392,1
17,Academic,2019,Medium,2014,"['exercise', 'reduce', 'study', 'effect', 'increase', 'food', 'improve', 'activity', 'eat', 'benefit']",17,"['brain', 'behavior', 'group', 'increase', 'pregnancy', 'response', 'task', 'emotional', 'stimulus', 'affective']",0.5976039171218872,9
