,corpus,corpus_year,query_source,query_year,query,query_topicID,best_match,best_match_score,best_match_topicID
0,Academic,2012,Medium,2012,"['blog', 'spend', 'black', 'suffer', 'stigma', 'leg', 'grateful', 'huge', 'battle', 'light']",0,"['symptom', 'patient', 'depression', 'somatic', 'fatigue', 'life', 'trial', 'show', 'internet', 'severe']",0.587136507034302,37
1041,Academic,2016,Medium,2012,"['blog', 'twin', 'baseball', 'game', 'spend', 'suffer', 'however', 'black', 'light', 'hear']",1,"['behavior', 'work', 'suicidal_ideation', 'suicidal', 'online', 'sex', 'offer', 'increase', 'address', 'self']",0.566040992736816,24
522,Academic,2014,Medium,2012,"['symptom', 'physical', 'emotional', 'aqui', 'ansiedad', 'controlar', 'occur', 'nervousness', 'fearful', 'response']",2,"['symptom', 'health', 'mental', 'depressive', 'mdd', 'gad', 'intervention', 'examine', 'common', 'concern']",0.754753649234772,10
783,Academic,2015,Medium,2012,"['faith', 'pull', 'action', 'strong', 'spend', 'plot', 'word', 'stop', 'positive', 'force']",3,"['social', 'sad', 'change', 'personality', 'control', 'participant', 'group', 'perceive', 'stroke', 'task']",0.684294164180756,8
1564,Academic,2018,Medium,2012,"['emotional', 'symptom', 'physical', 'controlar', 'ansiedad', 'aqui', 'nervousness', 'spend', 'fearful', 'kind']",4,"['social', 'emotional', 'negative', 'relationship', 'self', 'cognitive', 'emotion', 'sad', 'relate', 'suggest']",0.782141089439392,7
1825,Academic,2019,Medium,2012,"['thank', 'phone', 'death', 'player', 'long', 'die', 'wait', 'injury', 'anxiously', 'grandma']",5,"['health', 'mental', 'care', 'internalize', 'experience', 'service', 'support', 'people', 'need', 'live']",0.616236865520477,0
526,Academic,2014,Medium,2012,"['lithium', 'land', 'down', 'flat', 'up', 'willing', 'dose', 'patient', 'stable', 'note']",6,"['depression', 'month', 'smoker', 'less', 'health', 'least', 'ci', 'prevalence', 'mental', 'symptom']",0.597879409790039,13
7,Academic,2012,Medium,2012,"['baseball', 'twin', 'game', 'non', 'thank', 'positive', 'fan', 'hear', 'stuff', 'sorry']",7,"['fear', 'sad', 'memory', 'social', 'previous', 'replicate', 'role', 'may', 'effect', 'interaction']",0.571036398410797,18
8,Academic,2012,Medium,2013,"['serve', 'cry', 'bed', 'sister', 'forget', 'scream', 'sob', 'ok', 'suppose', 'hit']",0,"['fear', 'sad', 'memory', 'social', 'previous', 'replicate', 'role', 'may', 'effect', 'interaction']",0.592080593109131,18
789,Academic,2015,Medium,2013,"['mk', 'pay', 'medication', 'money', 'therapist', 'sometimes', 'buy', 'bed', 'therapy', 'sad']",1,"['therapy', 'patient', 'cbt', 'outcome', 'primary', 'trial', 'care', 'group', 'cognitive', 'intervention']",0.707160294055939,2
1050,Academic,2016,Medium,2013,"['strength', 'fall', 'happiness', 'strong', 'amy', 'gym', 'mindfulness', 'physical', 'thinking', 'forward']",2,"['depression', 'mental', 'health', 'risk', 'age', 'year', 'association', 'factor', 'use', 'method']",0.719133138656616,7
11,Academic,2012,Medium,2013,"['project', 'photo', 'past', 'digital', 'game', 'thurston', 'schedule', 'baseball', 'social_media', 'detox']",3,"['fear', 'sad', 'memory', 'social', 'previous', 'replicate', 'role', 'may', 'effect', 'interaction']",0.605270147323608,18
1572,Academic,2018,Medium,2013,"['accept', 'partner', 'behaviour', 'relationship', 'choose', 'fence', 'death', 'difficult', 'meet', 'influence']",4,"['social', 'emotional', 'negative', 'relationship', 'self', 'cognitive', 'emotion', 'sad', 'relate', 'suggest']",0.703996777534485,7
793,Academic,2015,Medium,2013,"['result', 'feedback', 'test', 'assessment', 'cultural_competency', 'prepare', 'doctor', 'medication', 'review', 'diversity']",5,"['therapy', 'patient', 'cbt', 'outcome', 'primary', 'trial', 'care', 'group', 'cognitive', 'intervention']",0.700124204158783,2
534,Academic,2014,Medium,2013,"['ok', 'accept', 'recognize', 'strong', 'action', 'breathing', 'uncertainty', 'breathe', 'almost', 'process']",6,"['stress', 'acceptance', 'act', 'trials_rct', 'equally', 'commitment', 'effect_size', 'review', 'methodological', 'comparison']",0.632896542549133,8
