,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,3.0,0.5324000120162964,"treatment, patient, year, symptom, outcome, age, follow, therapy, change, psychological","['therapy', 'couple', 'affair', 'randomized_controlle', 'trialto', 'examine', 'efficacy', 'couple', 'treatment', 'approach', 'promote', 'recovery', 'recently', 'disclose', 'affair', 'couple', 'disclose', 'affair', 'partner', 'past', 'month', 'randomly_assigne', 'treatment', 'control', 'group', 'wait', 'month', 'treatment', 'couple', 'complete', 'self', 'report', 'measure', 'beck', 'depression', 'inventory', 'impact', 'event', 'scale', 'revise', 'partnership', 'questionnaire', 'pre', 'post', 'treatment', 'couple', 'drop', 'various', 'reason', 'ongoing', 'affair', 'separation', 'use', 'multiple', 'imputation', 'handle', 'miss', 'datum', 'problem', 'analyze', 'dyadic', 'datum', 'hierarchical', 'linear', 'model', 'level', 'model', 'significant', 'improvement', 'score', 'anxiety', 'correspond', 'large', 'partner', 'yet', 'significant', 'improvement', 'depression', 'score', 'find', 'unfaithful', 'partner', 'moderate', 'effect_size', 'result', 'suggest', 'treatment', 'improve', 'individual', 'complaint', 'relationship', 'satisfaction', 'sufficient', 'amount', 'partner', 'hence', 'future_research', 'address', 'intervention', 'encourage', 'couple', 'maintain', 'therapy', 'achieve', 'sustained', 'improvement', 'relationship', 'satisfaction', 'copyright_elsevi', 'ltd']"
1,1,7.0,0.42399999499320984,"effect, intervention, group, stress, show, control, participant, reduce, week, condition","['hybrid', 'cognitive', 'behaviour', 'therapy', 'individual', 'insomnia', 'chronic_pain', 'pilot_randomise', 'control', 'trialobjective', 'insomnia', 'debilitate', 'comorbidity', 'chronic_pain', 'pilot', 'trial', 'test', 'utility', 'hybrid', 'treatment', 'simultaneously', 'target', 'insomnia', 'pain', 'relate', 'interference', 'method', 'chronic_pain', 'patient', 'clinical', 'insomnia', 'randomly_allocate', 'receive', 'weekly', 'session', 'hybrid', 'treatment', 'hybrid', 'group', 'keep', 'pain', 'sleep', 'diary', 'week', 'receive', 'hybrid', 'treatment', 'monitoring', 'group', 'participant', 'assess', 'beginning', 'end', 'week', 'period', 'primary', 'outcome', 'insomnia', 'severity', 'pain', 'interference', 'fatigue', 'anxiety', 'depression', 'pain', 'intensity', 'ancillary', 'information', 'hybrid', 'treatment', 'effect', 'psychological', 'process', 'sleep', 'measure', 'sleep', 'diary', 'actigraphy', 'also', 'present', 'datum', 'demonstrating', 'treatment', 'clinical', 'significance', 'acceptability', 'durability', 'month', 'datum', 'participant', 'combine', 'purpose', 'result', 'compare', 'symptom', 'monitoring', 'hybrid', 'intervention', 'associate', 'great', 'improvement', 'sleep', 'measure', 'insomnia', 'severity', 'index', 'sleep', 'diary', 'post', 'treatment', 'pain', 'intensity', 'change', 'hybrid', 'group', 'report', 'great', 'reduction', 'pain', 'interference', 'fatigue', 'depression', 'monitoring', 'group', 'overall', 'change', 'associate', 'hybrid', 'intervention', 'clinically', 'significant', 'durable', 'month_follow', 'up', 'participant', 'also', 'rate', 'highly', 'treatment', 'acceptability', 'conclusion', 'hybrid', 'intervention', 'appear', 'effective', 'treatment', 'chronic_pain', 'patient', 'insomnia', 'treatment', 'approach', 'suit', 'tackle', 'challenge', 'present', 'clinical', 'practice', 'problem', 'seldom', 'occur', 'isolation', 'copyright_elsevi', 'ltd']"
2,2,2.0,0.47620001435279846,"factor, symptom, scale, sample, use, score, clinical, report, assess, patient","['treatment', 'specific', 'competence', 'predict', 'outcome', 'cognitive', 'therapy', 'social', 'anxiety', 'disorderseveral', 'study', 'demonstrate', 'positive', 'relationship', 'competence', 'outcome', 'cbt', 'depression', 'study', 'cbt', 'anxiety', 'disorder', 'lack', 'present', 'study', 'explore', 'relationship', 'competence', 'outcome', 'cognitive', 'therapy', 'social', 'anxiety', 'disorder', 'use', 'hierarchical', 'linear', 'modeling', 'analysis', 'datum', 'draw', 'multicenter', 'randomized_controlle', 'trial', 'train', 'rater', 'evaluate', 'videotape', 'therapy', 'session', 'patient', 'use', 'cognitive', 'therapy', 'competence', 'scale', 'social', 'phobia', 'ctcs', 'sp', 'overall', 'adherence', 'treatment', 'manual', 'patient', 'difficulty', 'also', 'assess', 'patient', 'outcome', 'rate', 'assessor', 'use', 'clinical', 'global_impression', 'improvement', 'scale', 'cgi', 'liebowitz', 'social', 'anxiety', 'scale', 'lsa', 'result', 'indicate', 'competence', 'significantly', 'predict', 'patient', 'outcome', 'beta', 'lsa', 'beta', 'patient', 'difficulty', 'adherence', 'improve', 'prediction', 'finding', 'support', 'view', 'competence', 'influence', 'outcome', 'focus', 'training', 'program', 'research', 'need', 'compare', 'different', 'way', 'assess', 'competence', 'understand', 'complex', 'relationship', 'competence', 'therapy', 'factor', 'likely', 'influence', 'outcome', 'copyright_elsevi', 'ltd']"
3,3,5.0,0.6621000170707703,"positive, increase, level, model, trait, high, emotional, behavior, affect, relationship","['arnold', 'schwarzenegger', 'effect', 'strength', 'victim', 'relate', 'harm', 'present', 'study', 'use', 'invivo', 'paradigm', 'examine', 'victim', 'vulnerability', 'harm', 'relate', 'intrusion', 'affect', 'belief', 'importance', 'thought', 'think', 'action', 'fusion', 'taf', 'undergraduate_student', 'large', 'university', 'randomly_assigne', 'imagine', 'vulnerable', 'elderly', 'man', 'able', 'bodied', 'individual', 'strong', 'youthful', 'male', 'get', 'car', 'accident', 'provide', 'invivo', 'rating', 'anxiety', 'guilt', 'likelihood', 'moral', 'wrongness', 'urge', 'neutralize', 'result', 'indicate', 'think', 'car', 'accident', 'involve', 'vulnerable', 'compare', 'able', 'bodied', 'person', 'provoke', 'distress', 'anxiety', 'guilt', 'strong', 'feeling', 'moral', 'wrongness', 'great', 'urge', 'cancel', 'effect', 'thinking', 'thought', 'high', 'estimate', 'likelihood', 'collision', 'occur', 'finding', 'study', 'broadly', 'support', 'rachman', 'assertion', 'significance', 'importance', 'attach', 'negative', 'thought', 'vulnerable', 'helpless', 'people', 'current', 'finding', 'discuss', 'term', 'cognitive', 'behavioral', 'model', 'obsession', 'clinical', 'implication', 'address', 'copyright_elsevi', 'ltd']"
4,4,12.0,0.6274999976158142,"self, negative, distress, relate, mediate, role, experience, belief, measure, avoidance","['social', 'evaluative', 'self', 'evaluative', 'appearance', 'concern', 'body_dysmorphic', 'disorderbody', 'dysmorphic', 'disorder', 'bdd', 'characterise', 'significant', 'preoccupation', 'distress', 'relate', 'animagine', 'slight', 'defect', 'appearance', 'individual', 'frequently', 'report', 'mark', 'concern', 'relate', 'perceive', 'negative', 'evaluation', 'appearance', 'other', 'research', 'specifically', 'investigate', 'concern', 'remain', 'limited', 'study', 'investigate', 'extent', 'nature', 'appearance', 'relate', 'social', 'evaluative', 'self', 'evaluative', 'concern', 'individual', 'bdd', 'healthy_control', 'bdd', 'participant', 'comparison', 'control', 'report', 'high', 'level', 'importance', 'anxiety', 'associate', 'perception', 'other', 'view', 'appearance', 'addition', 'view', 'difference', 'observe', 'level', 'importance', 'anxiety', 'associate', 'self', 'view', 'comparison', 'other', 'view', 'finding', 'support', 'exist', 'evidence', 'indicate', 'appearance', 'relate', 'social', 'evaluative', 'concern', 'central', 'feature', 'bdd', 'cognitive', 'behavioural', 'treatment', 'implication', 'discussed_copyright']"
5,5,3.0,0.531000018119812,"treatment, patient, year, symptom, outcome, age, follow, therapy, change, psychological","['therapy', 'couple', 'affair', 'randomized_controlle', 'trial', 'examine', 'efficacy', 'couple', 'treatment', 'approach', 'promote', 'recovery', 'recently', 'disclose', 'affair', 'couple', 'disclose', 'affair', 'partner', 'past', 'month', 'randomly_assigne', 'treatment', 'control', 'group', 'wait', 'month', 'treatment', 'couple', 'complete', 'self', 'report', 'measure', 'beck', 'depression', 'inventory', 'impact', 'event', 'scale', 'revise', 'partnership', 'questionnaire', 'pre', 'post', 'treatment', 'couple', 'drop', 'various', 'reason', 'ongoing', 'affair', 'separation', 'use', 'multiple', 'imputation', 'handle', 'miss', 'datum', 'problem', 'analyze', 'dyadic', 'datum', 'hierarchical', 'linear', 'model', 'level', 'model', 'significant', 'improvement', 'score', 'anxiety', 'correspond', 'large', 'partner', 'yet', 'significant', 'improvement', 'depression', 'score', 'find', 'unfaithful', 'partner', 'moderate', 'effect_size', 'result', 'suggest', 'treatment', 'improve', 'individual', 'complaint', 'relationship', 'satisfaction', 'sufficient', 'amount', 'partner', 'hence', 'future_research', 'address', 'intervention', 'encourage', 'couple', 'maintain', 'therapy', 'achieve', 'sustained', 'improvement', 'relationship', 'satisfaction', 'publication_abstract']"
6,6,5.0,0.6559000015258789,"positive, increase, level, model, trait, high, emotional, behavior, affect, relationship","['arnold', 'schwarzenegger', 'effect', 'strength', 'victim', 'relate', 'harm', 'intrusion', 'present', 'study', 'use', 'vivo', 'paradigm', 'examine', 'victim', 'vulnerability', 'harm', 'relate', 'intrusion', 'affect', 'belief', 'importance', 'thought', 'think', 'action', 'fusion', 'taf', 'undergraduate_student', 'large', 'university', 'randomly_assigne', 'imagine', 'vulnerable', 'elderly', 'man', 'able', 'bodied', 'individual', 'strong', 'youthful', 'male', 'get', 'car', 'accident', 'provide', 'vivo', 'rating', 'anxiety', 'guilt', 'likelihood', 'moral', 'wrongness', 'urge', 'neutralize', 'result', 'indicate', 'think', 'car', 'accident', 'involve', 'vulnerable', 'compare', 'able', 'bodied', 'person', 'provoke', 'distress', 'anxiety', 'guilt', 'strong', 'feeling', 'moral', 'wrongness', 'great', 'urge', 'cancel', 'effect', 'thinking', 'thought', 'high', 'estimate', 'likelihood', 'collision', 'occur', 'finding', 'study', 'broadly', 'support', 'rachman', 'assertion', 'significance', 'importance', 'attach', 'negative', 'thought', 'vulnerable', 'helpless', 'people', 'current', 'finding', 'discuss', 'term', 'cognitive', 'behavioral', 'model', 'obsession', 'clinical', 'implication', 'address', 'publication_abstract']"
7,7,12.0,0.6312999725341797,"self, negative, distress, relate, mediate, role, experience, belief, measure, avoidance","['social', 'evaluative', 'self', 'evaluative', 'appearance', 'concern', 'body_dysmorphic', 'disorder', 'body_dysmorphic', 'disorder', 'bdd', 'characterise', 'significant', 'preoccupation', 'distress', 'relate', 'imagine', 'slight', 'defect', 'appearance', 'individual', 'frequently', 'report', 'mark', 'concern', 'relate', 'perceive', 'negative', 'evaluation', 'appearance', 'other', 'research', 'specifically', 'investigate', 'concern', 'remain', 'limited', 'study', 'investigate', 'extent', 'nature', 'appearance', 'relate', 'social', 'evaluative', 'self', 'evaluative', 'concern', 'individual', 'bdd', 'healthy_control', 'bdd', 'participant', 'comparison', 'control', 'report', 'high', 'level', 'importance', 'anxiety', 'associate', 'perception', 'other', 'view', 'appearance', 'addition', 'view', 'difference', 'observe', 'level', 'importance', 'anxiety', 'associate', 'self', 'view', 'comparison', 'other', 'view', 'finding', 'support', 'exist', 'evidence', 'indicate', 'appearance', 'relate', 'social', 'evaluative', 'concern', 'central', 'feature', 'bdd', 'cognitive', 'behavioural', 'treatment', 'implication', 'discuss', 'publication_abstract']"
8,8,7.0,0.42089998722076416,"effect, intervention, group, stress, show, control, participant, reduce, week, condition","['hybrid', 'cognitive', 'behaviour', 'therapy', 'individual', 'insomnia', 'chronic_pain', 'pilot_randomise', 'controlled_trial', 'insomnia', 'debilitate', 'comorbidity', 'chronic_pain', 'pilot', 'trial', 'test', 'utility', 'hybrid', 'treatment', 'simultaneously', 'target', 'insomnia', 'pain', 'relate', 'interference', 'chronic_pain', 'patient', 'clinical', 'insomnia', 'randomly_allocate', 'receive', 'weekly', 'session', 'hybrid', 'treatment', 'hybrid', 'group', 'keep', 'pain', 'sleep', 'diary', 'week', 'receive', 'hybrid', 'treatment', 'monitoring', 'group', 'participant', 'assess', 'beginning', 'end', 'week', 'period', 'primary', 'outcome', 'insomnia', 'severity', 'pain', 'interference', 'fatigue', 'anxiety', 'depression', 'pain', 'intensity', 'ancillary', 'information', 'hybrid', 'treatment', 'effect', 'psychological', 'process', 'sleep', 'measure', 'sleep', 'diary', 'actigraphy', 'also', 'present', 'datum', 'demonstrating', 'treatment', 'clinical', 'significance', 'acceptability', 'durability', 'month', 'datum', 'participant', 'combine', 'purpose', 'compare', 'symptom', 'monitoring', 'hybrid', 'intervention', 'associate', 'great', 'improvement', 'sleep', 'measure', 'insomnia', 'severity', 'index', 'sleep', 'diary', 'post', 'treatment', 'pain', 'intensity', 'change', 'hybrid', 'group', 'report', 'great', 'reduction', 'pain', 'interference', 'fatigue', 'depression', 'monitoring', 'group', 'overall', 'change', 'associate', 'hybrid', 'intervention', 'clinically', 'significant', 'durable', 'month_follow', 'up', 'participant', 'also', 'rate', 'highly', 'treatment', 'acceptability', 'hybrid', 'intervention', 'appear', 'effective', 'treatment', 'chronic_pain', 'patient', 'insomnia', 'treatment', 'approach', 'suit', 'tackle', 'challenge', 'present', 'clinical', 'practice', 'problem', 'seldom', 'occur', 'isolation']"
9,9,2.0,0.48339998722076416,"factor, symptom, scale, sample, use, score, clinical, report, assess, patient","['treatment', 'specific', 'competence', 'predict', 'outcome', 'cognitive', 'therapy', 'social', 'anxiety', 'disorder', 'several', 'study', 'demonstrate', 'positive', 'relationship', 'competence', 'outcome', 'cbt', 'depression', 'study', 'cbt', 'anxiety', 'disorder', 'lack', 'present', 'study', 'explore', 'relationship', 'competence', 'outcome', 'cognitive', 'therapy', 'social', 'anxiety', 'disorder', 'use', 'hierarchical', 'linear', 'modeling', 'analysis', 'datum', 'draw', 'multicenter', 'randomized_controlle', 'trial', 'train', 'rater', 'evaluate', 'videotape', 'therapy', 'session', 'patient', 'use', 'cognitive', 'therapy', 'competence', 'scale', 'social', 'phobia', 'ctcs', 'sp', 'overall', 'adherence', 'treatment', 'manual', 'patient', 'difficulty', 'also', 'assess', 'patient', 'outcome', 'rate', 'assessor', 'use', 'clinical', 'global_impression', 'improvement', 'scale', 'cgi', 'liebowitz', 'social', 'anxiety', 'scale', 'lsa', 'result', 'indicate', 'competence', 'significantly', 'predict', 'patient', 'outcome', 'cgi', 'lsa', 'patient', 'difficulty', 'adherence', 'improve', 'prediction', 'finding', 'support', 'view', 'competence', 'influence', 'outcome', 'focus', 'training', 'program', 'research', 'need', 'compare', 'different', 'way', 'assess', 'competence', 'understand', 'complex', 'relationship', 'competence', 'therapy', 'factor', 'likely', 'influence', 'outcome', 'publication_abstract']"
