,Year,Source,Topic_ID,Most_freq_words
0,2020,Academic,0,"['scale', 'measure', 'score', 'gad', 'item', 'age', 'assess', 'analysis', 'factor', 'sex']"
1,2020,Academic,1,"['risk', 'factor', 'association', 'limitation', 'early', 'associate', 'ptsd', 'follow', 'psychiatric', 'datum']"
2,2020,Academic,2,"['covid', 'psychological', 'ci', 'pandemic', 'prevalence', 'stress', 'factor', 'impact', 'survey', 'high']"
3,2020,Academic,3,"['sleep', 'effect', 'response', 'increase', 'network', 'change', 'level', 'time', 'suggest', 'brain']"
4,2020,Academic,4,"['woman', 'depressive', 'student', 'pregnancy', 'year', 'medical', 'high', 'ci', 'perinatal', 'stressor']"
5,2020,Academic,5,"['treatment', 'intervention', 'group', 'therapy', 'week', 'participant', 'post', 'follow', 'change', 'trial']"
6,2020,Academic,6,"['distress', 'psychological', 'cope', 'worker', 'vulnerability', 'transdiagnostic', 'resilience', 'staff', 'pain', 'medical']"
7,2020,Academic,7,"['patient', 'clinical', 'high', 'compare', 'depressive', 'non', 'associate', 'score', 'severity', 'characteristic']"
8,2020,Academic,8,"['alcohol', 'family', 'loneliness', 'share', 'people', 'case', 'report', 'community', 'question', 'error']"
9,2020,Academic,9,"['cognitive', 'trait', 'performance', 'avoidance', 'face', 'interpersonal', 'ability', 'alteration', 'mediator', 'skill']"
10,2020,Academic,10,"['mdd', 'suicide', 'major_depressive', 'suicidal', 'suicidality', 'scale', 'rating', 'indicator', 'level', 'prevalence']"
11,2020,Academic,11,"['group', 'childhood', 'bipolar', 'high', 'bd', 'ocd', 'youth', 'age', 'control', 'abuse']"
12,2020,Academic,12,"['negative', 'self', 'relationship', 'individual', 'positive', 'effect', 'emotion', 'support', 'measure', 'predict']"
13,2020,Academic,13,"['stress', 'fear', 'insomnia', 'dass', 'sensitivity', 'environmental', 'human', 'older_adult', 'pathological', 'cause']"
14,2020,Academic,14,"['social', 'adolescent', 'sad', 'impulsivity', 'substance', 'eat', 'profile', 'depressive', 'clinical', 'functional_connectivity']"
15,2020,Academic,15,"['health', 'mental', 'child', 'report', 'experience', 'problem', 'people', 'care', 'life', 'age']"
16,2020,Academic,16,"['disability', 'review', 'quality', 'include', 'physical', 'search', 'evidence', 'term', 'implementation', 'practice']"
17,2020,Academic,17,"['treatment', 'severity', 'antidepressant', 'functional', 'psychiatric', 'drug', 'meta', 'predict', 'adult', 'outcome']"
