,Year,Source,Topic_ID,Most_freq_words
0,2019,Medium,0,"['feeling', 'self', 'control', 'situation', 'learn', 'change', 'thought', 'anxious', 'happen', 'become']"
1,2019,Medium,1,"['fear', 'panic_attack', 'panic', 'attack', 'brain', 'trigger', 'ocd', 'afraid', 'threat', 'danger']"
2,2019,Medium,2,"['brain', 'study', 'increase', 'effect', 'research', 'show', 'also', 'technology', 'use', 'report']"
3,2019,Medium,3,"['start', 'new', 'change', 'keep', 'year', 'list', 'give', 'many', 'spend', 'also']"
4,2019,Medium,4,"['child', 'kid', 'parent', 'school', 'family', 'mother', 'young', 'mom', 'year', 'old']"
5,2019,Medium,5,"['book', 'goal', 'business', 'decision', 'failure', 'value', 'coach', 'career', 'money', 'success']"
6,2019,Medium,6,"['experience', 'also', 'many', 'however', 'often', 'state', 'form', 'issue', 'example', 'follow']"
7,2019,Medium,7,"['love', 'relationship', 'self', 'woman', 'care', 'man', 'trauma', 'pain', 'partner', 'emotional']"
8,2019,Medium,8,"['look', 'walk', 'room', 'back', 'turn', 'smile', 'eye', 'leave', 'sit', 'light']"
9,2019,Medium,9,"['com', 'social_media', 'post', 'online', 'instagram', 'app', 'video', 'phone', 'facebook', 'content']"
10,2019,Medium,10,"['stress', 'body', 'exercise', 'physical', 'health', 'reduce', 'mindfulness', 'yoga', 'also', 'calm']"
11,2019,Medium,11,"['dog', 'job', 'cat', 'pet', 'interview', 'animal', 'company', 'america', 'owner', 'employee']"
12,2019,Medium,12,"['year', 'home', 'month', 'week', 'back', 'first', 'tell', 'last', 'still', 'hour']"
13,2019,Medium,13,"['friend', 'talk', 'ask', 'speak', 'person', 'social', 'tell', 'question', 'conversation', 'share']"
14,2019,Medium,14,"['medication', 'doctor', 'patient', 'treatment', 'drug', 'therapy', 'pill', 'treat', 'pain', 'medical']"
15,2019,Medium,15,"['sleep', 'night', 'eat', 'music', 'bed', 'morning', 'drink', 'food', 'wake', 'hour']"
16,2019,Medium,16,"['thought', 'mind', 'meditation', 'practice', 'focus', 'moment', 'present', 'technique', 'minute', 'calm']"
17,2019,Medium,17,"['write', 'really', 'read', 'start', 'maybe', 'lot', 'bad', 'right', 'little', 'still']"
18,2019,Medium,18,"['heart', 'body', 'breathe', 'mind', 'run', 'hand', 'breath', 'hold', 'fight', 'pain']"
19,2019,Medium,19,"['joy', 'love', 'gift', 'nature', 'create', 'energy', 'art', 'creative', 'space', 'peace']"
20,2019,Medium,20,"['worry', 'problem', 'anxious', 'future', 'solve', 'overthinke', 'solution', 'worried', 'concern', 'happen']"
21,2019,Medium,21,"['therapy', 'therapist', 'student', 'school', 'class', 'college', 'university', 'session', 'teacher', 'exam']"
22,2019,Medium,22,"['live', 'world', 'never', 'always', 'moment', 'believe', 'hope', 'ever', 'happy', 'lose']"
23,2019,Medium,23,"['disorder', 'symptom', 'social', 'treatment', 'cause', 'person', 'experience', 'suffer', 'common', 'condition']"
24,2019,Medium,24,"['depression', 'mental_health', 'illness', 'struggle', 'issue', 'mental', 'mental_illness', 'suffer', 'depressed', 'talk']"
25,2019,Medium,25,"['god', 'faith', 'plane', 'pray', 'peace', 'church', 'prayer', 'fly', 'lord', 'christian']"
