,Title,Abstract,StoreId,documentType,year
202,The impact of imagery rescripting on memory appraisals and core beliefs in social anxiety disorder,"Negative mental images in social anxiety disorder (SAD) are often rooted in autobiographical memories of formative, distressing life events. In the present study, 25 participants with SAD retrieved an idiosyncratic negative mental image and associated autobiographical memory. Participants were then randomly assigned either to a single-session of imagery rescripting (IR) targeting the retrieved autobiographical memory or to a non-intervention control condition (no-IR). Outcomes were assessed one week later. Compared to control participants, those who received IR experienced substantial reduction in SAD symptoms accompanied by more positive and less negative appraisals of their autobiographical memories. Moreover, IR relative to no-IR participants reported marked shifts in the content, validity, and accuracy of their memory-derived negative core beliefs about self and others, but not about the world. Results support the promise of IR as a stand-alone intervention for SAD and suggest important directions for future research to enhance our understanding of the cognitive mechanisms that underlie its effects.",1756221141.0, Journal Article,2015
203,Interpretation modification training reduces social anxiety in clinically anxious children,"The present study was designed to examine the effects of training in positive interpretations in clinically anxious children. A total of 87 children between 7 and 12 years of age were randomly assigned to either a positive cognitive bias modification training for interpretation (CMB-I) or a neutral training. Training included 15 sessions in a two-week period. Children with an interpretation bias prior to training in the positive training group showed a significant reduction in interpretation bias on the social threat scenarios after training, but not children in the neutral training group. No effects on interpretation biases were found for the general threat scenarios or the non-threat scenarios. Furthermore, children in the positive training did not self-report lower anxiety than children in the neutral training group. However, mothers and fathers reported a significant reduction in social anxiety in their children after positive training, but not after neutral training. This study demonstrated that clinically anxious children with a prior interpretation bias can be trained away from negative social interpretation biases and there is some evidence that this corresponds to reductions in social anxiety. This study also highlights the importance of using specific training stimuli.",1756220215.0, Journal Article,2015
204,Anxiety sensitivity moderates behavioral avoidance in anxious youth,"Individuals who are high in anxiety sensitivity (AS) are motivated to avoid sensations of anxiety. Consequently, AS is hypothesized to contribute to overall avoidance of any feared stimuli. No studies have yet examined whether fear of a stimulus is a stronger predictor of behavioral avoidance in individuals who are high in AS compared to individuals who are low in AS. We examined whether AS moderates the association between fear of spiders and behavioral avoidance of spider stimuli in 50 clinically anxious youth. Fear of spiders significantly predicted avoidance of spider stimuli in youth high in AS but not in youth low in AS. These results provide support for the role of AS in avoidant behavior and help to explain the link between AS and the anxiety disorders. The results have implications for exposure-based anxiety treatments and highlight the importance of increasing anxious patients' ability to tolerate sensations of anxiety.",1728004443.0, Journal Article,2015
205,The impact of comorbid personality difficulties on response to IAPT treatment for depression and anxiety,"  The UK's Improving Access to Psychological Therapies (IAPT) initiative provides evidence-based psychological interventions for mild to moderate common mental health problems in a primary care setting. Predictors of treatment response are unclear. This study examined the impact of personality disorder status on outcome in a large IAPT service. We hypothesised that the presence of probable personality disorder would adversely affect treatment response. We used a prospective cohort design to study a consecutive sample of individuals (n = 1249). Higher scores on a screening measure for personality disorder were associated with poorer outcome on measures of depression, anxiety and social functioning, and reduced recovery rates at the end of treatment. These associations were not confounded by demographic status, initial symptom severity nor number of treatment sessions. The presence of personality difficulties independently predicted reduced absolute change on all outcome measures. The presence of co-morbid personality difficulties adversely affects treatment outcome among individuals attending for treatment in an IAPT service. There is a need to routinely assess for the presence of personality difficulties on all individuals referred to IAPT services. This information will provide important prognostic data and could lead to the provision of more effective, personalised treatment in IAPT.",1715676311.0, Feature,2015
206,Look for good and never give up: A novel attention training treatment for childhood anxiety disorders,"  Attention bias modification training (ABMT) is a promising treatment for anxiety disorders. Recent evidence suggests that attention training towards positive stimuli, using visual-search based ABMT, has beneficial effects on anxiety and attention biases in children. The present study extends this prior research using distinctive techniques designed to increase participant learning, memory consolidation, and treatment engagement. Fifty-nine clinically anxious children were randomly assigned to the active treatment condition (ATC) (N = 31) or waitlist control condition (WLC) (N = 28). In the ATC, children completed 12 treatment sessions at home on computer in which they searched matrices for a pleasant or calm target amongst unpleasant background pictures, while also engaging in techniques designed to consolidate learning and memory for these search strategies. No contact was made with children in the WLC during the wait period. Diagnostic, parent- and child-reports of anxiety and depressive symptoms, externalising behaviour problems and attention biases were assessed pre- and post-condition and six-months after treatment. Children in the ATC showed greater improvements on multiple clinical measures compared to children in the WLC. Post-treatment gains improved six-months after treatment. Attention biases for angry and happy faces did not change significantly from pre-to post-condition. However, larger pre-treatment attention bias towards threat was associated with greater reduction in anxiety at post-treatment. Also, children who showed greater consolidation of learning and memory strategies during treatment achieved greater improvement in global functioning at post-treatment. Attention training towards positive stimuli using enhanced visual-search procedures appears to be a promising treatment for childhood anxiety disorders.",1715676308.0, Feature,2015
207,The feasibility of improving CBT for childhood anxiety disorders through a dismantling study,"  This preliminary randomized controlled trial (RCT) examines the feasibility of dismantling cognitive behavioral therapy (CBT) for childhood anxiety disorders. Fourteen children (10 girls) ages 7 to 14 (m = 10.2) with social phobia, generalized anxiety disorder, separation anxiety disorder, or panic disorder were randomized to receive 6 sessions of either a) the pre-exposure anxiety management strategies presented in traditional CBT, or b) parent-coached exposure therapy. The sample was selected from a treatment seeking population and is representative of children in clinical settings. Examination of fidelity ratings, dropouts, and satisfaction ratings indicated that the interventions were distinguishable, safe, and tolerable. The overall sample improved significantly with pre-post effect sizes generally in the large range for both conditions. Between-group effect sizes indicating greater improvement with parent-coached exposure therapy were moderate or large for ten of 12 variables (i.e., 0.53 to 1.52). Re-evaluation after three months of open treatment suggested that the intervention emphasizing exposure early maintained its superiority while requiring fewer appointments.",1715676288.0, Feature,2015
208,Discriminant validity of constructs derived from the self-regulative model for evaluation anxiety for predicting clinical manifestations of test anxiety,"  Test anxiety is a highly prevalent and impairing syndrome. However, research on clinically relevant manifestations of test anxiety and especially on effective treatment components is still very sparse. In the present study we examined the predictive validity of constructs derived from the self-regulative model for evaluation anxiety proposed by Zeidner and Matthews (2007) for discriminating clinical and non-clinical levels of test anxiety. We compared self-report data from 47 clinically test anxious patients with those from 41 healthy university students. Results showed that learning goals, self-concept of abilities, self-incrimination, elaboration and perfectionism were the constructs that independently separated clinical from non-clinical levels of test anxiety, thus providing the strongest discriminant validity even when controlling for an effect of the global severity of mental health problems. These constructs spread across all three domains proposed in the model, thus providing important implications for possible targets of interventions to reduce clinical levels of test anxiety.",1715676285.0, Feature,2015
209,Computerised CBT for depressed adolescents: Randomised controlled trial,"  Depression in adolescents is a common and impairing problem. Effective psychological therapies for depression are not accessed by most adolescents. Computerised therapy offers huge potential for improving access to treatment. To test the efficacy of Stressbusters, a Computerised-CBT (C-CBT) programme for depression in young people. Multi-site, schools-based, RCT of C-CBT compared to Waiting List, for young people (N = 112; aged 12-16) with significant symptoms of depression, using multiple-informants (adolescents, parents, teachers), with follow-up at 3 and 6 months. Relative to being on a Waiting List, C-CBT was associated with statistically significant and clinically meaningful improvements in symptoms of depression and anxiety according to adolescent self-report; and with a trend towards improvements in depression and anxiety according to parent-report. Improvements were maintained at follow-up. Treatment gains were similar for boys and girls across the participating age range. Treatment effect was partially mediated by changes in ruminative thinking. Teachers rated adolescents as having few emotional or behavioural problems, both before and after intervention. C-CBT had no detectable effect on academic attainment. In the month after intervention, young people who received C-CBT had significantly fewer absences from school than those on the Waiting List. C-CBT shows considerable promise for the treatment of mild-moderate depression in adolescents.",1715676284.0, Feature,2015
210,Moderators of the effect of psychological interventions on depression and anxiety in cardiac surgery patients: A systematic review and meta-analysis,"  Cardiac surgery patients may be provided with psychological interventions to counteract depression and anxiety associated with surgical procedures. This systematic review and meta-analysis investigated whether intervention efficacy was impacted by type of cardiac procedure/cardiac event; control condition content; intervention duration; intervention timing; facilitator type; and risk of bias. MEDLINE, EMBASE, and PsycINFO were searched for randomized controlled trials comparing anxiety and depression outcomes, pre and post psychological and cardiac interventions. Twenty-four studies met the inclusion criteria for the systematic review (N = 2718) and 16 of those were meta-analysed (N = 1928). Depression and anxiety outcomes were reduced more in interventions that lasted longer, were delivered post-surgery, and by trained health professionals. Depression (but not anxiety) was reduced more when the experimental intervention was compared to an 'alternative' intervention, and when the intervention was delivered to coronary artery bypass graft patients. Anxiety (but not depression) was decreased more when interventions were delivered to implantable cardioverter defibrillator patients, and were of 'high' or 'unclear' risk of bias. In addition to estimating efficacy, future work in this domain needs to take into account the moderating effects of intervention, sample, and study characteristics.",1715676283.0, Feature,2015
211,Cognitive behavior therapy for comorbid migraine and/or tension-type headache and major depressive disorder: An exploratory randomized controlled trial,"  Numerous studies have demonstrated comorbidity between migraine and tension-type headache on the one hand, and depression on the other. Presence of depression is a negative prognostic indicator for behavioral treatment of headaches. Despite the recognised comorbidity, there is a limited research literature evaluating interventions designed for comorbid headaches and depression. Sixty six participants (49 female, 17 male) suffering from migraine and/or tension-type headache and major depressive disorder were randomly allocated to a Routine Primary Care control group or a Cognitive Behavior Therapy group that also received routine primary care. The treatment program involved 12 weekly 50-min sessions administered by clinical psychologists. Participants in the treatment group improved significantly more than participants in the control group from pre-to post-treatment on measures of headaches, depression, anxiety, and quality of life. Improvements achieved with treatment were maintained at four month follow-up. Comorbid anxiety disorders were not a predictor of response to treatment, and the only significant predictor was gender (men improved more than women). The new integrated treatment program appears promising and worthy of further investigation.",1715676097.0, Feature,2015
