,topic_id,words,corpus,year,bio_score,psych_score,social_score,unclear
0,1,"symptom, 
depression, 
associate, 
association, 
depressive, 
use, 
severity, 
level, 
diagnosis, 
assess",Academic,2012,6,4,0,
1,2,"year, 
follow, 
patient, 
exposure, 
trauma, 
period, 
health, 
conduct, 
cause, 
treat",Academic,2012,2,8,0,
2,5,"social, 
community, 
system, 
interpretation, 
relate, 
resource, 
differ, 
interference, 
unit, 
imbalance",Academic,2012,0,0,10,
3,6,"review, 
group, 
performance, 
control, 
score, 
article, 
high, 
report, 
conduct, 
possible",Academic,2012,0,2,8,
4,8,"depression, 
depressive, 
score, 
major, 
week, 
significant, 
medication, 
adjust, 
measure, 
remission",Academic,2012,4,6,0,
0,1,"eat, 
knowledge, 
relapse, 
complex, 
content, 
short, 
early, 
behavior, 
state, 
principal",Academic,2013,3,4,3,
1,4,"patient, 
scale, 
high, 
score, 
use, 
clinical, 
method, 
mental, 
conclusion, 
measure",Academic,2013,2,8,0,
2,5,"subject, 
diagnosis, 
group, 
year, 
difference, 
significantly, 
age, 
non, 
assess, 
female",Academic,2013,1,2,7,
3,6,"cidi, 
secondary, 
pathogenesis, 
multivariable, 
middle_income, 
light, 
highlight, 
culturally, 
cultural, 
country",Academic,2013,4,0,6,
4,8,"social, 
sad, 
individual, 
rumination, 
variable, 
process, 
initial, 
acceptance, 
cognitive, 
lead",Academic,2013,1,4,5,
0,0,"function, 
outcome, 
associate, 
impairment, 
individual, 
variable, 
level, 
psychosis, 
initial, 
illness",Academic,2014,2,8,0,
1,1,"patient, 
symptom, 
depressive, 
clinical, 
major, 
diagnosis, 
use, 
psychiatric, 
non, 
month",Academic,2014,5,5,0,
2,2,"may, 
patient, 
symptom, 
show, 
relate, 
control, 
measure, 
suggest, 
associate, 
level",Academic,2014,2,8,0,
3,5,"social, 
sad, 
individual, 
belief, 
cognitive, 
sample, 
concern, 
indirect, 
rate, 
deficit",Academic,2014,0,3,7,
0,2,"patient, 
high, 
severe, 
health, 
score, 
use, 
depression, 
mental, 
predict, 
life",Academic,2015,1,9,0,
1,5,"event, 
student, 
mediate, 
death, 
exposure, 
school, 
violence, 
worry, 
relationship, 
role",Academic,2015,0,2,8,
2,6,"control, 
patient, 
group, 
may, 
psychotic, 
affective, 
non, 
specific, 
level, 
clinical",Academic,2015,0,8,2,
3,8,"age, 
adolescent, 
childhood, 
effect, 
year, 
internalize, 
high, 
resilience, 
externalize, 
base",Academic,2015,0,8,2,
4,10,"depressive, 
predict, 
symptom, 
birth, 
emotional, 
depression, 
term, 
episode, 
gender, 
infant",Academic,2015,4,4,2,
