,topic_id,words,corpus,year,bio_score,psych_score,social_score,unclear
0,0,"today, 
thing, 
depression, 
go, 
work, 
physical, 
attack, 
help, 
much, 
experience",Medium,2012,3,4,3,
1,1,"thank, 
stress, 
talk, 
medication, 
still, 
help, 
year, 
emotion, 
lithium, 
good",Medium,2012,3,4,3,
2,2,"work, 
way, 
keep, 
thing, 
control, 
action, 
strong, 
post, 
much, 
today",Medium,2012,0,2,8,
3,3,"go, 
baseball, 
point, 
spend, 
would, 
new, 
word, 
write, 
non, 
twin",Medium,2012,0,2,8,
4,4,"attack, 
symptom, 
emotional, 
physical, 
click, 
controlar, 
also, 
experience, 
heart, 
occur",Medium,2012,4,5,1,
0,0,"play, 
fun, 
friend, 
kid, 
face, 
moment, 
self, 
cure, 
serious, 
world",Medium,2013,1,0,9,
1,2,"worry, 
also, 
worker, 
play, 
stress, 
week, 
talk, 
flight, 
experience, 
many",Medium,2013,1,2,7,
2,3,"natural, 
side_effect, 
pressure, 
medication, 
improve, 
panic_attack, 
body, 
treatment, 
tension, 
session",Medium,2013,5,4,1,
3,4,"plane, 
flight, 
crash, 
air, 
fly, 
dream, 
minute, 
still, 
worry, 
become",Medium,2013,0,8,2,
4,5,"worry, 
worker, 
tell, 
dog, 
still, 
pilbara, 
seem, 
mining, 
really, 
body",Medium,2013,2,5,3,
0,11,"introduce, 
event, 
keep, 
talk, 
often, 
community, 
development, 
change, 
sure, 
run",Medium,2014,0,1,9,
1,18,"other, 
check, 
fear, 
mean, 
long, 
put, 
brain, 
many, 
experience, 
run",Medium,2014,2,6,2,
2,22,"friend, 
new, 
band, 
love, 
night, 
call, 
hand, 
stranger, 
pangea, 
panic",Medium,2014,1,6,4,
3,29,"twitter, 
learn, 
read, 
write, 
self, 
damn, 
require, 
word, 
opinion, 
world",Medium,2014,0,1,9,
4,30,"school, 
perfect, 
year, 
stick, 
first, 
ever, 
kid, 
really, 
friend, 
check",Medium,2014,0,0,10,
0,9,"become, 
thought, 
point, 
turn, 
hard, 
home, 
bad, 
worry, 
let, 
least",Medium,2015,0,10,0,
1,11,"worry, 
point, 
control, 
mean, 
thought, 
learn, 
simple, 
brain, 
little, 
shape",Medium,2015,2,7,1,
2,15,"bad, 
person, 
depression, 
college, 
worry, 
kid, 
other, 
bully, 
learn, 
deal",Medium,2015,2,3,5,
3,22,"depression, 
sleep, 
stop, 
ask, 
other, 
doctor, 
student, 
remember, 
hear, 
enough",Medium,2015,2,4,4,
4,23,"bad, 
month, 
happen, 
job, 
call, 
fear, 
hard, 
moment, 
turn, 
right",Medium,2015,0,2,8,
0,1,"may, 
become, 
mind, 
self, 
person, 
find, 
often, 
try, 
much, 
other",Medium,2016,0,7,3,
1,10,"back, 
walk, 
head, 
sit, 
run, 
look, 
light, 
hand, 
turn, 
moment",Medium,2016,1,1,8,
2,15,"body, 
also, 
use, 
physical, 
system, 
effect, 
avoid, 
result, 
feeling, 
mind",Medium,2016,3,7,0,
3,18,"response, 
bubble, 
wrist, 
pitch, 
preparation, 
pity, 
permission, 
passion, 
performance, 
persistent",Medium,2016,1,9,1,
4,32,"color, 
blue, 
wood, 
dish, 
accurate, 
license, 
murder, 
driver, 
green, 
picture",Medium,2016,0,5,5,
0,0,"back, 
night, 
home, 
would, 
look, 
run, 
week, 
hour, 
leave, 
could",Medium,2017,0,5,5,
1,2,"write, 
woman, 
post, 
music, 
beautiful, 
play, 
story, 
show, 
read, 
art",Medium,2017,1,2,7,
2,3,"student, 
child, 
school, 
parent, 
class, 
year, 
kid, 
college, 
young, 
mother",Medium,2017,0,0,10,
3,4,"would, 
friend, 
love, 
year, 
never, 
tell, 
see, 
still, 
could, 
always",Medium,2017,0,2,8,
4,5,"mind, 
heart, 
body, 
eye, 
hand, 
fear, 
head, 
face, 
die, 
away",Medium,2017,4,6,0,
0,2,"game, 
play, 
team, 
test, 
sport, 
exam, 
player, 
gear, 
study, 
ball",Medium,2018,0,0,10,
1,5,"start, 
really, 
lot, 
also, 
much, 
keep, 
actually, 
learn, 
always, 
easy",Medium,2018,0,5,5,
2,7,"head, 
look, 
back, 
away, 
stop, 
face, 
sit, 
leave, 
walk, 
let",Medium,2018,3,4,3,
3,16,"feature, 
addiction, 
definition, 
smoke, 
driver, 
intervention, 
cigarette, 
independent, 
pro, 
functional",Medium,2018,3,5,2,
4,30,"new, 
today, 
place, 
plan, 
minute, 
give, 
spend, 
enjoy, 
small, 
next",Medium,2018,0,5,5,
0,1,"world, 
live, 
self, 
become, 
experience, 
change, 
many, 
other, 
mean, 
human",Medium,2019,0,7,3,
1,5,"mind, 
heart, 
body, 
moment, 
begin, 
panic, 
light, 
hand, 
deep, 
hold",Medium,2019,4,6,0,
2,14,"brain, 
ocd, 
thought, 
med, 
ritual, 
obsession, 
part, 
compulsion, 
obsessive, 
paranoia",Medium,2019,1,9,0,
3,15,"social, 
talk, 
person, 
interaction, 
conversation, 
friend, 
party, 
situation, 
other, 
judge",Medium,2019,0,3,7,
4,16,"year, 
start, 
could, 
back, 
first, 
still, 
really, 
long, 
little, 
look",Medium,2019,0,9,1,
0,3,"virus, 
body, 
hand, 
walk, 
back, 
eye, 
sit, 
light, 
pain, 
heart",Medium,2020,8,2,0,
1,4,"depression, 
year, 
depressed, 
researcher, 
struggle, 
sad, 
mood, 
medium_com, 
suicide, 
loneliness",Medium,2020,3,5,2,
2,5,"world, 
live, 
other, 
human, 
become, 
change, 
experience, 
new, 
mean, 
self",Medium,2020,0,4,6,
3,8,"home, 
write, 
keep, 
stay, 
news, 
read, 
week, 
new, 
book, 
family",Medium,2020,0,4,6,
4,9,"relationship, 
partner, 
business, 
team, 
company, 
individual, 
worker, 
issue, 
environment, 
economic",Medium,2020,0,0,10,
