Title,Abstract,StoreId,documentType,year
Influencing Factors of Psychological Well-Being of the Non-designated Hospital Staff in China During the COVID-19 Pandemic.,"Background: Recent studies report that hospital staff at the forefront of caring for COVID-19 patients experience increased psychological distress. To effectively manage the outbreak of COVID-19, China established COVID-19 designated and non-designated hospitals. To date, few studies have examined the impacts of COVID-19 on psychological health of staff working at non-designated hospitals. This study is to explore factors affecting psychological health of non-designated hospital staff in China during the COVID-19 pandemic. Methods: Data were collected through an online questionnaire between February and March 2020. The questionnaire consists of General Health Questionnaire (GHQ-20), Social Support Rating Scale (SSRS), Simplified Coping Style Questionnaire (SCSQ), sociodemographic characteristics, employment history, health status, and contact history of COVID-19. The questionnaire was distributed through hospital WeChat groups and work colleague referrals. A total of 470 non-designated hospital staff members completed the questionnaire. Multiple Linear Regression analysis was used to interpret the associations among social support, coping styles, sociodemographic factors, job roles, and psychological status. Data were analyzed using SPSS version 21.0. Results: The non-designated hospital staff differed significantly in anxiety and depression subscores of the GHQ-20 by their job roles, levels of social support, and history of mental disorders. Staff with medical job roles, good self-reported health status, no previous mental disorders, adequate social support, and positive coping styles scored lower in GHQ-20 total score, which indicated healthier psychological status. Conclusions: The results indicate that history of mental health disorders, non-medical job roles, and inadequate social support are associated with greater psychological distress. Personalized support should be provided to those who are vulnerable and in need of social and psychological support.",2492282284, Journal Article,2021
"The Association Between Impaired Awareness and Depression, Anxiety, and Apathy in Mild to Moderate Alzheimer's Disease: A Systematic Review.","Objectives: Impaired awareness of cognitive and functional deficits is a common feature of Alzheimer's disease (AD). Although a lack of awareness has been suggested to be a protective factor against experiencing affective symptoms, such as depression, anxiety, and apathy which are common in AD, there is conflicting evidence about the links between them. This systematic review examines the evidence for an association between impaired awareness and depressive, anxiety, and apathy symptoms in mild to moderate AD. Method: We searched four databases (OvidMedline, Embase, PsycInfo, and PsycArticles) using terms encompassing awareness, apathy, depression, anxiety, and mild-moderate AD. We included studies that assessed the relationship between awareness and depressive symptoms, anxiety symptoms, or apathy. We assessed included papers for quality and report results using a narrative approach, prioritizing high quality studies. Results: We identified 1,544 articles, and twenty-seven studies fulfilled inclusion criteria (high-quality = 15; moderate-quality = 12). Most high-quality studies reported that impaired awareness in early-stage AD is cross-sectionally linked with fewer depressive symptoms and anxiety symptoms (correlation ranged from -0.3 to -0.7), but with more apathy. Conclusions: High-quality studies suggested that in people with early AD, impaired awareness is related to fewer depressive and anxiety symptoms and to more apathy. Future research should focus on elucidating causality among impaired awareness and these symptoms in AD.",2492279936, Systematic Review,2021
Alcohol- and Cigarette-Use Related Behaviors During Quarantine and Physical Distancing Amid COVID-19 in Indonesia.,"Background: In light of the coronavirus disease 2019 (COVID-19) pandemic, Indonesia implemented large-scale social restrictions (pembatasan sosial berskala besar/PSBB) to combat the spread of COVID-19, which might influence addictive behaviors. The current study aimed to explore the fluctuation of substance use during the pandemic and association of physical distancing and related factors toward consumption of alcohol and cigarettes. Method: An online survey was conducted from April 28 to June 1, 2020. Data regarding sociodemographic information, physical distancing profile, alcohol and cigarette usages, Alcohol Use Disorders Identification Test (AUDIT), Cigarette Dependence Scale (CDS), Symptom Checklist-90, and Pittsburg Sleep Quality Index (PSQI) were collected. A total of 4,584 respondents from all 34 provinces in Indonesia completed the survey. Data were summarized descriptively and analyzed using chi-square, ANOVA, and multinomial regression on SPSS 23.0 for Windows. Results: This study found that during the COVID-19 pandemic in Indonesia alcohol consumption was 9.50% and daily cigarette smoking was 20.3%. Around 44.5% and 47.6% of respondents reported stable alcohol consumption and cigarette consumption, respectively. The mean AUDIT score was 3.52 ± 4.66 and the mean CDS score was 24.73 ± 8.86. Physical distancing was not correlated to any substance use changes. Increased alcohol consumption was negatively correlated with being unmarried and positively correlated with a higher PSQI score. Decreased alcohol use positively correlated with living in PSBB-implementing provinces and higher AUDIT scores when compared to stable alcohol drinking. Increased cigarette smoking was positively correlated with being male, unmarried, and higher CDS scores. Reduced cigarette smoking was negatively correlated with living in provinces implementing PSBB, higher CDS scores, and phobic anxiety, hostility, and psychoticism subscales of SCL-90. Discussion and Conclusion: The prevalence of alcohol and cigarette consumption changes showed a similar trend with other available studies in other countries. This study established that substance use was mainly sustained with a smaller proportion of respondents amplifying their substance usages. The changes were correlated with PSBB policy but not the practice of physical distancing. Psychiatry and addiction services in Indonesia should be strengthened to cope with the increased burden of psychological distress. Future studies should conduct more comparisons to determine whether the overall rising intensity of consumption was maintained post-pandemic and delineate acute psychopathologies' effects on substance use.",2491943271, Journal Article,2021
"COVID-19 Pandemic: Demographic Predictors of Self-Isolation or Self-Quarantine and Impact of Isolation and Quarantine on Perceived Stress, Anxiety, and Depression.","Introduction: With the sudden onset and global dispersal of the SARS-CoV-2 virus, many nations including Canada attempted to reduce spread of the resultant COVID-19 syndrome with self-isolation and quarantine, while seeking a cure or vaccine for this disease. Understanding impacts of self-isolation and self-quarantine on stress, anxiety, and depression will help us to mitigate these issues through appropriate development of mental health services. Methods: The sample was drawn from individuals who self-subscribed to Text4Hope, a service that delivers text messages based on a cognitive behavioral therapy framework. Text4Hope was developed to support Albertans during the COVID-19 pandemic. Subscribers were asked for demographic information and if they had to self-isolate or self-quarantine during the pandemic via a survey link. Mental health was assessed using the validated instruments: Perceived Stress Scale (PSS), Generalized Anxiety Disorder-7 item scale (GAD-7), and the Patient Health Questionnaire-9 (PHQ-9). Descriptive statistics and Chi-Square test results were derived using Statistical Package for Social Sciences (SPSS) version-26. Results: 6,041 of 32,805 Text4Hope subscribers (18.4%) completed the survey. Of these respondents, 19.2% had self-isolated or self-quarantined in Alberta as of March 31, 2020 during the COVID-19 pandemic. Post-hoc analysis using adjusted residuals suggested that individuals aged 60 years of age or older, and retirees had a higher likelihood of self-isolation or self-quarantine, compared to respondents with other age or employment characteristics. One-week prevalence rates for self-reported measures of moderate to high stress, likely Generalized Anxiety Disorder (GAD), and likely Major Depressive Disorder (MDD) were 84.9, 46.7, and 41.4%, respectively. Respondents who had to self-isolate or self-quarantine during the COVID-19 pandemic were significantly more likely to present with moderate to high stress, significant anxiety symptomatology, and significant depressive symptomatology. Conclusions: Older age and employment status were significantly associated with the likelihood of self-isolation or self-quarantine. We found elevated self-reported levels of anxiety and depression associated with self-reported COVID-19 pandemic-related self-isolation and self-quarantine activity. These findings have mental health implications both during and after the pandemic and demonstrate the need for greater focus on psychological complications of self-isolation and self-quarantine, and development of optimal ways to manage these pandemic consequences.",2491072428, Journal Article,2021
"The Relationship Between the Implementation of Statutory Preventative Measures, Perceived Susceptibility of COVID-19, and Personality Traits in the Initial Stage of Corona-Related Lockdown: A German and Austrian Population Online Survey.","Background: Particularly during the early and middle stages of the COVID-19 pandemic, a population's compliance with precautionary measures (e.g., hygiene rules, smart working, travel restrictions, and quarantine) is paramount in preventing the virus from spreading. Objective: The investigation and documentation of different socio-demographic and personality-specific factors in regards to preventative measures and consequent specific health behaviors during the COVID-19 pandemic, based on the Health Belief Model. Method: An online survey was conducted on N = 3,006 individuals living in Germany and Austria during the early stages of lockdown. The questionnaire consisted of a self-administered section, exploring the dimensions posited in the Health Belief Model: perceived severity, perceived susceptibility, perceived barriers, perceived benefits of health-promoting measures, and engagement in health-promoting behaviors. Additionally, the following standardized scales were used to record personality determinants: the Stress Coping Style Questionnaire SVF 78 to evaluate coping and processing strategies in stressful circumstances, the Positive and Negative Affect Schedule (PANAS) to assess the emotional state induced by the coronavirus crisis, the UI-18 scale to diagnose the intolerance of uncertainty, and the State-Trait Anxiety Inventory (STAI) to assess anxiety. Results: In line with the Health Belief model, four groups were created based on perceived susceptibility and engagement in health-promoting behaviors, and consequently studied in relation to personality determinants. Those four groups differed significantly in regards to almost all personality dimensions (p ≤ 0.005). Group 1 (n = 450) shows a reduced engagement with protective measures and displays underestimation of the COVID-19-pandemic. Group 2 (n = 984) displays many positive personality variables and high compliance with protective measures. Group 3 (n = 468) perceives the subjective risk of disease as high, but high emotional discomfort and stress caused by the protective measures leads to the activation of a complex fear defense. Group 4 (n = 1,004) is highly anxious and therefore compliant. Conclusion: This typification has implications for establishing the appropriate support systems. This is particularly important to encourage compliance with preventive regulations within the groups, which showed poor abidance for several reasons. For Group 1, further education on the realistic threat and efficient protective measures is as central as the fostering of empathy for others; with its resource-conscious exemplary behavior Group 2 could be used as a positive social role model. Group 3 would benefit from promoting self-care, while Group 4 requires information on psychosocial assistance availability in order to mitigate the high stress to which the group members are subjected.",2489597192, Journal Article,2021
Predicting Symptoms of Depression and Anxiety Using Smartphone and Wearable Data.,"Background: Depression and anxiety are leading causes of disability worldwide but often remain undetected and untreated. Smartphone and wearable devices may offer a unique source of data to detect moment by moment changes in risk factors associated with mental disorders that overcome many of the limitations of traditional screening methods. Objective: The current study aimed to explore the extent to which data from smartphone and wearable devices could predict symptoms of depression and anxiety. Methods: A total of N = 60 adults (ages 24-68) who owned an Apple iPhone and Oura Ring were recruited online over a 2-week period. At the beginning of the study, participants installed the Delphi data acquisition app on their smartphone. The app continuously monitored participants' location (using GPS) and smartphone usage behavior (total usage time and frequency of use). The Oura Ring provided measures related to activity (step count and metabolic equivalent for task), sleep (total sleep time, sleep onset latency, wake after sleep onset and time in bed) and heart rate variability (HRV). In addition, participants were prompted to report their daily mood (valence and arousal). Participants completed self-reported assessments of depression, anxiety and stress (DASS-21) at baseline, midpoint and the end of the study. Results: Multilevel models demonstrated a significant negative association between the variability of locations visited and symptoms of depression (beta = -0.21, p = 0.037) and significant positive associations between total sleep time and depression (beta = 0.24, p = 0.023), time in bed and depression (beta = 0.26, p = 0.020), wake after sleep onset and anxiety (beta = 0.23, p = 0.035) and HRV and anxiety (beta = 0.26, p = 0.035). A combined model of smartphone and wearable features and self-reported mood provided the strongest prediction of depression. Conclusion: The current findings demonstrate that wearable devices may provide valuable sources of data in predicting symptoms of depression and anxiety, most notably data related to common measures of sleep.",2489596247, Journal Article,2021
Mental Health Consequences for Healthcare Workers During the COVID-19 Pandemic: A Scoping Review to Draw Lessons for LMICs.,"Background: The COVID-19 pandemic has had a significant impact on the mental health of healthcare workers (HCWs) particularly in low and middle-income countries (LMICs). This scoping review provides a summary of current evidence on the mental health consequences of COVID on HCWs. Methods: A scoping review was conducted searching PubMed and Embase for articles relevant to mental health conditions among HCWs during COVID-19. Relevant articles were screened and extracted to summarize key outcomes and findings. Results: A total of fifty-one studies were included in this review. Depressive symptoms, anxiety symptoms, psychological trauma, insomnia and sleep quality, workplace burnout and fatigue, and distress were the main outcomes reviewed. Most studies found a high number of symptoms endorsed for depression, anxiety, and other conditions. We found differences in symptoms by sex, age, and HCW role, with female, younger-aged, frontline workers, and non-physician workers being affected more than other subgroups. Conclusion: This review highlights the existing burden of mental health conditions reported by HCWs during COVID-19. It also demonstrates emerging disparities among affected HCW subgroups. This scoping review emphasizes the importance of generating high quality evidence and developing informed interventions for HCW mental health with a focus on LMICs.",2489595107, Journal Article,2021
"The Relationship Between Mental Toughness, Job Loss, and Mental Health Issues During the COVID-19 Pandemic.","Concerns toward public well-being and mental health are increasing considering the COVID-19 pandemic's global societal and individual impact. The present study builds on the current body of COVID-19 literature by examining the role of mental toughness (MT) in predicting negative affective states (depression, anxiety and stress) during the pandemic. The study also examined the effects of changes in employment on mental health and MT. Participants (N = 723) completed a battery of questionnaires including the Mental Toughness Questionnaire 48-item, The State-Trait Anxiety Inventory, and the Depression, Anxiety and Stress Scale - 21 items. Participants reported relatively higher levels of depression, stress and anxiety in comparison to pre-COVID-19 samples from previous research, with respondents who had lost their jobs during the pandemic reporting higher levels of negative affective states. Despite this, mentally tough individuals appeared to report lower levels of depression, anxiety and stress. Moreover, moderation analyses identified some interaction between MT and employment status when predicting depression, anxiety and stress. Our findings suggest that MT may have some utility in reducing the adverse mental health effects of the pandemic on individuals, however, further longitudinal research is needed to support these implications.",2492279665, Journal Article,2020
Co-developing a Mental Health and Wellbeing Chatbot With and for Young People.,"There are many young people who experience mental health and wellbeing challenges. A potential negative mental health trigger for some youth is a struggle to cope with stress at school, feelings of depression and anxiety and availability of adequate help for these stressors. In response to youth needs a mental health and wellbeing Chatbot has been co-developed with youth, technology partners and expert stakeholders. An element of the Chatbot is powered by artificial intelligence and rules based AI using natural language processing. It is created to communicate evidence based resources, wellbeing support, educational mental health information and adaptive coping strategies. This paper will discuss how the Chatbot has been developed, highlighting its participatory, co-design process with youth who are the key stakeholders to benefit from this digital tool. Research from interviews and surveys informed the creation of the Chabots personality and its character design. Examples of the conversation design and content development are provided. The paper finishes with how, if at all, digital tools such as Chatbot applications could support the mental health of young people in secondary schools or health care settings in conjunction with the wellbeing or health care team, concluding with lessons learned and cautions.",2491073354, Journal Article,2020
"Perceived Stress, Hope, and Health Outcomes Among Medical Staff in China During the COVID-19 Pandemic.","This study investigated the buffering role of hope between perceived stress and health outcomes among front-line medical staff treating patients with suspected COVID-19 infection in Shenzhen, China. In the cross-sectional study with online questionnaires, medical staff's perceived stress, anxiety, depression, sleep quality, and hope were measured by the 10-item Chinese Perceived Stress Scale, Hospital Anxiety and Depression Scale, the Pittsburgh Sleep Quality Index, and the Locus-of-Hope Scale, respectively. A total of 319 eligible front-line medical staff participated. The prevalence of anxiety (29.70%), depression (28.80%), poor sleep quality (38.90%) indicated that a considerable proportion of medical staff experienced mood and sleep disturbances during the COVID-19 pandemic. Internal locus-of-hope significantly moderated the effects of stress on anxiety, depression, and sleep quality. Moreover, external family locus-of-hope and external peer locus-of-hope significantly moderated the association between perceived stress and depression. The prevalence of symptoms indicates that both mental and physical health outcomes of front-line medical staff deserve more attention. Internal and external locus-of-hope functioned differently as protective factors for medical staffs' health and might be promising targets for intervention.",2489597982, Journal Article,2020
