Title,Abstract,StoreId,documentType,year
A randomized controlled trial examining CBT for college students with ADHD,"Objective: College students with attention deficit/hyperactivity disorder (ADHD) are at increased risk for numerous educational and psychosocial difficulties. This study reports findings from a large, multisite randomized controlled trial examining the efficacy of a treatment for this population, known as ACCESS-Accessing Campus Connections and Empowering Student Success. Method: ACCESS is a cognitive–behavioral therapy program delivered via group treatment and individual mentoring across two semesters. A total of 250 students (18–30 years of age, 66% female, 6.8% Latino, 66.3% Caucasian) with rigorously defined ADHD and comorbidity status were recruited from two public universities and randomly assigned to receive ACCESS immediately or on a 1-year delayed basis. Treatment response was assessed on three occasions, addressing primary (i.e., ADHD, executive functioning, depression, anxiety) and secondary (i.e., clinical change mechanisms, service utilization) outcomes. Results: Latent growth curve modeling (LGCM) revealed significantly greater improvements among immediate ACCESS participants in terms of ADHD symptoms, executive functioning, clinical change mechanisms, and use of disability accommodations, representing medium to large effects (Cohen's d, .39–1.21). Across these same outcomes, clinical significance analyses using reliable change indices (RCI; Jacobson &amp; Truax, 1992) revealed significantly higher percentages of ACCESS participants showing improvement. Although treatment-induced improvements in depression and anxiety were not evident from LGCM, RCI analyses indicated that immediate ACCESS participants were less likely to report a worsening in depression/anxiety symptoms. Conclusions: Findings from this RCT provide strong evidence in support of the efficacy and feasibility of ACCESS as a treatment for young adults with ADHD attending college.",2485545082, Journal Article,2021
Moderators of treatment response to an intervention for nonsuicidal self-injury in young adults,"Objective: Despite the prevalence and impact of nonsuicidal self-injury (NSSI), there are few treatments developed to treat the behavior specifically, and little is known about moderators of treatment response. The Treatment for Self-Injurious Behaviors (T-SIB), a brief, behavioral intervention, was developed to treat NSSI in young adults; a previous pilot randomized controlled trial (RCT) comparing T-SIB with treatment as usual (TAU) provided support for the intervention. This study examined demographic, clinical, and NSSI-related predictors of treatment outcome in the pilot RCT for T-SIB. Method: Young adults (N = 33) were randomized to receive T-SIB or treatment as usual; all participants were included in intent-to-treat analyses. The primary outcome of NSSI behaviors was assessed at baseline, posttreatment (9 weeks), and 3-month follow up, and potential moderators were assessed at baseline. Results: Greater lifetime and last year NSSI frequency was associated with fewer NSSI behaviors at posttreatment and follow up among participants in T-SIB. Anxious symptoms also moderated treatment outcomes, but other demographic and clinical variables did not. Conclusion: Previous research has shown that T-SIB is more effective than TAU overall; the current study suggests that T-SIB may be effective for individuals with more frequent NSSI and those with elevated anxiety. A larger evaluation of T-SIB is supported. (PsycInfo Database Record (c) 2020 APA, all rights reserved)",2459435074, Journal Article,2020
Reassessing evidence-based content in popular smartphone apps for depression and anxiety: Developing and applying user-adjusted analyses,"Objective: To assess the dissemination of evidence-based content within smartphone apps for depression and anxiety by developing and applying user-adjusted analysis-a method for weighting app content based on each app's number of active users. Method: We searched the Apple App Store and Google Play Store and identified 27 apps within the top search hits, which real-world users are most likely to encounter. We developed a codebook of evidence-based treatment elements by reviewing past research on empirically supported treatments. We coded the apps to develop an initial tally of the frequency of treatment elements within the mental health (MH) apps. We then developed and applied user-adjusted analysis to refine the tallies based on each app's number of monthly active users. Results: The 2 most popular apps were responsible for 90% of monthly active users, and user-adjusted analysis markedly altered conclusions of prior reports based on tallies alone. For example, mindfulness was present in 37% of apps but reached 96% of monthly active users, cognitive restructuring was present in 22% but reached only 2%, and exposure was present in 7% but reached only 0.0004%. Conclusions: The potential impact of MH apps on mental health may be best evaluated via assessment that combines tallies of evidence-based content with data on the content users are actually accessing. Given wide variation in the popularity of MH apps, findings weighted by usage data may differ markedly from findings based on raw tallies alone. (PsycInfo Database Record (c) 2020 APA, all rights reserved)",2459434752, Journal Article,2020
"Temporal relations among sleep, depression symptoms, and anxiety symptoms during intensive cognitive–behavioral treatment","Objective: Bidirectional relations between sleep disturbances, depression symptoms, and anxiety symptoms have been frequently observed in empirical studies; however, little is known about the temporal relations between these variables in the context of treatment. Method: The current study examines the temporal relations between sleep parameters, depression symptoms, and anxiety symptoms in a large sample of individuals undergoing intensive cognitive–behavioral partial hospital treatment (N = 1,184). Random-intercept cross-lagged panel models were fit to these data to determine whether (1) sleep parameters uniquely predicted subsequent depression and anxiety symptoms and (2) depression and anxiety symptoms uniquely predicted subsequent sleep parameters. Results: Results revealed relations in both directions: later than usual bedtimes predicted higher than usual anxiety and depression the next day, shorter than usual sleep duration predicted higher than usual depression the next day, shorter than usual nighttime sleep onset latency predicted higher than usual anxiety the next day, and higher than usual anxiety predicted shorter than usual sleep duration on the next night. Conclusions: These finding suggest the potential value of examining sleep behaviors associated with sleep timing and circadian rhythms as important transdiagnostic factors during treatment for anxiety and depression. We discuss the implications for future studies of the relations between sleep and psychopathology symptoms and understanding individuals' experiences in the context of cognitive–behavioral treatment. (PsycInfo Database Record (c) 2020 APA, all rights reserved)",2459434150, Journal Article,2020
Predicting sudden gains before treatment begins: An examination of pretreatment intraindividual variability in symptoms,"Objective: Sudden gains during psychotherapy have been found to be predictive of positive treatment outcomes. Previous attempts at predicting occurrence of sudden gains have yielded equivocal findings. Recently, intraindividual variability in symptoms during treatment was suggested as a trans-therapeutic and trans-diagnostic predictor of sudden gains. The goal of the present study was to examine this predictor in Internet-delivered treatment for social anxiety disorder (SAD) and to examine whether this predictor predicts sudden gains when measured before treatment begins. Method: We examined data from a preregistered randomized controlled trial (RCT) of Internet-delivered cognitive–behavioral therapy (CBT) for SAD (n = 101). We measured variability in symptoms both within-treatment and before treatment (i.e. during waitlist). Results: Intraindividual variability in symptoms significantly predicted sudden gains both when measured before treatment or within-treatment and correctly classified 84% and 83% of individuals to sudden gains versus non-sudden gains status, respectively. Conclusions: Intraindividual variability in symptoms can predict sudden gains in Internet-delivered treatment for SAD, thus supporting its trans-diagnostic and trans-therapeutic nature. Predicting sudden gains before treatment begins has implications for treatment planning and clinical decision making as well as for personalized tailoring of interventions.",2435542561, Journal Article,2020
Reevaluating ruptures and repairs in alliance: Between- and within-session processes in cognitive–behavioral therapy and short-term psychodynamic psychotherapy,"Objective: Ruptures and repairs in alliance and their association with treatment outcome have been studied widely. Many of these studies have used indirect methods, focused on decreases in alliance across sessions while measuring alliance at postsession. However, this approach does not establish whether observed decreases occur within (as insinuated by most theories) or between sessions. In the current study, we examined decreases of alliance measured both pre- and postsession in 3 clinical trials and explored the phenomenology and interpretation of these decreases. Additionally, we investigated the effects of rupture magnitude and the interpretation of repairs on treatment outcome, examining whether the ""repairs benefit"" or the ""unrepaired ruptures damage"" theories were supported by the data. Method: Presession and postsession therapeutic alliance and outcome measures were examined from patients who participated in 1 of 3 studies: cognitive–behavioral therapy (CBT) for social anxiety disorder (N = 29), CBT for panic disorder (N = 31), or short-term psychodynamic psychotherapy for depression (N = 44). Patterns of change in alliance are described. Ruptures and repairs are examined according to several criteria and are used to predict outcome using longitudinal multilevel modeling. Results: In all samples, alliance systematically decreased between sessions and increased within them. Decreases in alliance as measured by traditional postsession to postsession were unreliable predictors of within-session decreases in alliance and of outcomes. Conclusions: Decreases in alliance across sessions are not valid measures of ruptures as defined by most theories. Instead, we suggest that they are indicative of an ebb-and-flow model for the development of alliance.",2435541033, Journal Article,2020
Community-based randomized controlled trial of psychological first aid with crime victims,"Objective: The first randomized controlled trial of psychological first aid (PFA) was conducted, using crime victims as participants. For study Aim 1, investigators tested whether paraprofessional victim advocates could be trained to deliver PFA to crime victims. For study Aim 2, investigators tested the effect of PFA delivery on victims' psychiatric (i.e., symptoms of PTSD, somatization, depression, anxiety, and substance use) and adaptive functioning outcomes. Method: Two law enforcement agencies served as study sites. A dynamic wait-listed design included a phase when advocates at both sites delivered usual services (US) to victims, a phase when one site was randomly selected to deliver PFA while the other delivered US, and a phase when both sites delivered PFA. Across all phases, 172 crime victims (mean age = 36.4 years; 81% female) were recruited, and a battery assessed their psychiatric symptoms and adaptive functioning at baseline and 1, 2, and 4 months postbaseline. Results: From the US to PFA phases, advocates' PFA adherence (i.e., their delivery of PFA components) increased significantly. PFA did not outperform US with regard to improvement on victims' individual psychiatric and adaptive functioning outcomes. However, on a composite global functioning outcome created for this trial, PFA yielded significantly greater improvement relative to US. Conclusion: Paraprofessional victim advocates have the capacity to deliver PFA. Conclusions regarding the effectiveness of PFA for crime victims vary depending on the nature of the scored outcome variable (individual vs. global), highlighting the importance of careful outcome measurement considerations in future research on PFA.",2435541516," Evidence Based Healthcare , Journal Article",2020
"Single-session digital intervention for adolescent depression, anxiety, and well-being: Outcomes of a randomized controlled trial with Kenyan adolescents","Background: Adolescent depression and anxiety symptoms are prevalent in sub-Saharan African countries, yet treatment options are scarce, and stigma limits help-seeking. Brief, computerized single-session interventions (SSIs) that contain empirically supported stigma-reducing elements may help expand access to treatment. We developed and evaluated such an intervention for Kenyan adolescents. Method: High school students (N = 103, age 13–18) were randomized to a digital SSI Shamiri-Digital (Shamiri means ""thrive"" in Kiswahili) or a study-skills control intervention. Shamiri-Digital consisted of reading and writing activities about 3 concepts: growth mindset, gratitude, and value affirmation. Both Shamiri-Digital and the study-skills control condition were delivered electronically in schools. Results: Compared to the control, Shamiri-Digital produced a greater reduction in adolescent depressive symptoms in both the full sample (p = .028, d = 0.50) and a subsample of youths with moderate to severe depression symptoms (p = .010, d = 0.83) from baseline to 2-week follow-up. The effects exceed the mean effects reported in meta-analyses of full-length, face-to-face psychotherapy for youth depression. There were no significant effects on anxiety symptoms, well-being, or happiness. Conclusion: This is the first report that a brief, computerized SSI may reduce depressive symptoms in adolescents in sub-Saharan Africa. Replication trials with extended follow-ups will help gauge the strength and durability of these effects.",2415495579," Evidence Based Healthcare , Journal Article",2020
"A transdiagnostic minority stress intervention for gender diverse sexual minority women's depression, anxiety, and unhealthy alcohol use: A randomized controlled trial","Objective: To remedy the notable gap in evidence-based treatments for sexual minority women, this study tested the efficacy of a minority-stress-focused cognitive–behavioral treatment intended to improve this population's mental and behavioral health. Method: The intervention, EQuIP (Empowering Queer Identities in Psychotherapy), was adapted from a transdiagnostic cognitive–behavioral treatment as also recently adapted for sexual minority men. Sexual minority women at risk of mental and behavioral health problems (n = 19) and expert providers with this population (n = 12) shaped the treatment's development, including by supporting its primary focus on universal and minority-stress-focused processes underlying this population's disproportionately poor mental and behavioral health. The resulting treatment was then delivered to young adult sexual minority women (n = 60; M age = 25.58; 41.67% racial/ethnic minority; 43.33% transgender/nonbinary) experiencing depression/anxiety and past 90-day heavy alcohol use. Results: Compared to waitlist (n = 30), participants randomized to immediately receive EQuIP (n = 30) experienced significantly reduced depression and anxiety (d = 0.85, 0.86, respectively); effects for alcohol use problems were smaller (d = 0.29) and marginally significant. In pre- to post-intervention pooled analyses, effect sizes for minority stress processes (mean d = .25) and universal risk factors (mean d = .48), through which the treatment was expected to work, were small and moderate, respectively, and in the expected direction. Conclusions: This study provides initial support for a minority-stress-focused transdiagnostic cognitive–behavioral treatment for sexual minority women. These first results can launch exploration of other mechanisms and modalities through which to equip this population with evidence-based support.",2415494336," Evidence Based Healthcare , Journal Article",2020
Mechanisms of change in female-specific and gender-neutral cognitive behavioral therapy for women with alcohol use disorder,"Objective: In a randomized trial for women with alcohol use disorders (AUD), the efficacy of Female-Specific Cognitive Behavioral Therapy (FS-CBT) was compared with Gender-Neutral CBT (GN-CBT; Epstein et al., 2018). The current study examined whether putative mechanisms of change differed between treatment conditions, using a novel statistical approach. Both treatments were hypothesized to work by increasing use of alcohol-related coping skills (coping) and confidence to abstain from drinking (confidence), but FS-CBT additionally targeted female-salient mechanisms: anxiety, depression, sociotropy (i.e., overinvestment in others' opinion of oneself), autonomy, and social networks supportive of abstinence. Method: Ninety-nine women with AUD (55 in GN-CBT, 44 in FS-CBT) completed self-report assessments at baseline and 0, 6, and 12 months posttreatment. Multilevel vector autoregression estimation was used to analyze associations between putative mechanisms of change, and network models of those associations were generated using network analysis. Results: Across conditions, higher confidence and coping were directly associated with less drinking; autonomy was directly and indirectly associated with drinking. Additionally, network analysis indicated that although variation in depression was associated with change in other variables specifically for GN-CBT, sociotropy was associated with change specifically in FS-CBT. Conclusions: Women receiving CBT-AUD changed their drinking through increased confidence to abstain and greater use of coping skills. Autonomy played a central role in behavior change across treatment conditions. Participants receiving treatment tailored to women also changed through decreases in sociotropy and increases in social support for abstinence. For women who received standard CBT, changes in depression were important to clinical improvement.",2404657343, Journal Article,2020
