,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,26.0,0.555400013923645,"depression, patient, anxiety, study, result, conclusion, high, method, measure, associate","['randomised_controlle', 'trial', 'group', 'cognitive', 'behavioural', 'therapy', 'comorbid', 'anxiety', 'depression', 'old', 'adultsanxiety', 'depression', 'commonly', 'comorbid', 'older_adult', 'associate', 'bad', 'physical', 'mental', 'health', 'outcome', 'poor', 'response', 'psychological', 'pharmacological', 'treatment', 'however', 'little', 'research', 'examine', 'effectiveness', 'psychological', 'program', 'treat', 'comorbid', 'anxiety', 'depression', 'adult', 'comorbid', 'anxiety', 'depression', 'randomly_allocate', 'group', 'cognitive', 'behavioural', 'therapy', 'waitlist', 'condition', 'assess', 'month', 'treatment', 'control', 'cognitive', 'ability', 'pre', 'treatment', 'cognitive', 'behaviour', 'therapy', 'result', 'significantly', 'great', 'reduction', 'waitlist', 'symptom', 'anxiety', 'depression', 'base', 'semi_structured', 'rate', 'unaware', 'treatment', 'condition', 'significant', 'time', 'treatment', 'interaction', 'also', 'find', 'self', 'report', 'measure', 'anxiety', 'depression', 'gain', 'maintain', 'month_follow', 'period', 'contrast', 'significant', 'difference', 'find', 'group', 'measure', 'worry', 'well', 'conclusion', 'group', 'cognitive', 'behavioural', 'therapy', 'efficacious', 'reduce', 'comorbid', 'anxiety', 'depression', 'geriatric', 'population', 'gain', 'maintain', 'least', 'month']"
1,1,30.0,0.5462999939918518,"treatment, cbt, therapy, outcome, cognitive, trial, youth, behavioral, symptom, receive","['randomized', 'placebo', 'cognitive', 'behavioral', 'therapy', 'alone', 'combine', 'sertraline', 'treatment', 'pediatric', 'examine', 'efficacy', 'sequential', 'sertraline', 'cognitive', 'behavioral', 'therapy', 'cbt', 'treatment', 'relative', 'cbt', 'week', 'child', 'adolescent', 'obsessive_compulsive', 'disorder', 'method', 'child', 'adolescent', 'range', 'year', 'randomize', 'week', 'treatment', 'arm', 'sertraline', 'standard', 'dose', 'cbt', 'titrate', 'slowly', 'achieve', 'least', 'week', 'maximally', 'tolerate', 'daily', 'cbt', 'pbo', 'cbt', 'assessment', 'conduct', 'screen', 'baseline', 'week', 'post', 'treatment', 'rater', 'clinician', 'blind', 'randomization', 'status', 'primary', 'outcome', 'include', 'children', 'obsessive_compulsive', 'scale', 'response', 'remission', 'status', 'include', 'child', 'obsessive_compulsive', 'impact', 'scale', 'parent', 'child', 'children', 'depression', 'revise', 'anxiety', 'scale', 'child', 'clinical', 'global', 'impression', 'severity', 'result', 'group', 'exhibit', 'large', 'group', 'effect', 'outcome', 'group', 'time', 'interaction', 'outcome', 'suggest', 'group', 'change', 'time', 'comparable', 'conclusion', 'youth', 'ocd', 'evidence', 'sequentially', 'provide', 'sertraline', 'cbt', 'differ', 'receive', 'placebo']"
2,2,26.0,0.3801000118255615,"depression, patient, anxiety, study, result, conclusion, high, method, measure, associate","['acceptance', 'base', 'group', 'therapy', 'traditional', 'cognitive', 'behavioral', 'group', 'therapy', 'anxiety', 'disorder', 'randomized_controlle', 'trialrecent', 'research', 'support', 'mindfulness', 'acceptance', 'base', 'intervention', 'anxiety', 'disorder', 'sad', 'objective', 'purpose', 'present', 'study', 'compare', 'mindfulness', 'acceptance', 'base', 'group', 'therapy', 'cognitive', 'behavioral', 'group', 'therapy', 'cbgt', 'respect', 'outcome', 'hypothesize', 'would', 'group', 'significantly', 'different', 'method', 'individual', 'mean', 'age', 'year', 'female', 'white', 'asian', 'diagnose', 'sad', 'randomly_assigne', 'primary', 'social', 'anxiety', 'symptom', 'severity', 'assess', 'baseline', 'treatment', 'midpoint', 'treatment', 'completion', 'cognitive', 'depression', 'value', 'living', 'group', 'cohesion', 'also', 'assess', 'result', 'hypothesize', 'significantly', 'different', 'social', 'anxiety', 'reduction', 'variable', 'assess', 'conclusion', 'present', 'research', 'provide', 'additional', 'support', 'mindfulness', 'acceptance', 'base', 'treatment', 'sad', 'examine', 'process', 'treatment', 'lead', 'change']"
3,3,36.0,0.6079999804496765,"child, association, adolescent, age, parent, follow, anxiety, tool, problem, symptom","['reduce', 'depression', 'year_old', 'child', 'low', 'school', 'longitudinal', 'randomized_controlle', 'optimism', 'positive', 'thinking', 'skill', 'program', 'innovative', 'curriculum', 'base', 'mental', 'promotion', 'program', 'base', 'cognitive', 'behavioural', 'strategy', 'program', 'aim', 'prevent', 'depressive', 'anxiety', 'symptom', 'disorder', 'middle', 'primary', 'school', 'child', 'student', 'low', 'se', 'primary', 'school', 'randomly_assigne', 'intervention', 'control', 'group', 'assess', 'post', 'test', 'month', 'month', 'intervention', 'group', 'receive', 'program', 'implement', 'control', 'group', 'receive', 'regular', 'health', 'education', 'curriculum', 'student', 'complete', 'questionnaire', 'depression', 'anxiety', 'attribution_style', 'risk', 'student', 'assess', 'computerised', 'diagnostic_interview', 'child', 'adolescent', 'parent', 'report', 'children', 'externalise', 'internalise', 'problem', 'home', 'child', 'intervention', 'condition', 'report', 'significant', 'pre', 'post', 'reduction', 'depressive', 'symptom', 'significant', 'pre', 'post', 'reduction', 'parent', 'report', 'emotional', 'difficulty', 'maintain', 'month_follow', 'change', 'evident', 'control', 'group', 'group', 'show', 'significant', 'improvement', 'child', 'report', 'anxiety', 'attribution_style', 'significant', 'improvement', 'parent', 'report', 'pro', 'social', 'behaviour', 'group', 'significant', 'post', 'baseline', 'change', 'incidence', 'recovery', 'rate', 'depression', 'anxiety', 'internalise', 'symptom', 'finding', 'suggest', 'aop', 'pts', 'potential', 'treat', 'depressive', 'symptomatology', 'immediate', 'term', 'effect', 'sustain', 'also', 'evidence', 'improve', 'emotional', 'resilience', 'month', 'follow', 'program', 'follow', 'investigate', 'long', 'term', 'effect', 'need']"
4,4,51.0,0.413100004196167,"sleep, dependent, age, methodological, think, function, old, drug, process, content","['psychological', 'treatment', 'hypnotic', 'dependent', 'insomnia', 'primarily', 'old', 'adult', 'sampleobjective', 'study', 'test', 'cognitive', 'behavior', 'therapy', 'cbt', 'hypnotic', 'dependent', 'late', 'middle', 'age', 'insomnia', 'method', 'volunteer', 'age', 'old', 'randomized', 'cbt', 'placebo', 'med', 'cbt', 'group', 'receive', 'weekly', 'treatment', 'session', 'comprise', 'slow', 'taper', 'monitor', 'biweekly', 'session', 'assessment', 'include', 'polysomnography', 'psg', 'sleep', 'diarie', 'hypnotic', 'consumption', 'daytime', 'function', 'questionnaire', 'drug', 'screen', 'collect', 'posttreatment', 'year', 'follow', 'result', 'cbt', 'group', 'show', 'significant', 'sleep', 'diary', 'improvement', 'significantly', 'decrease', 'posttreatment', 'sleep', 'diary', 'measure', 'group', 'include', 'med', 'sleep', 'trend', 'improvement', 'baseline', 'follow', 'psg', 'sleep', 'variable', 'significantly', 'change', 'significant', 'group', 'difference', 'medication', 'reduction', 'compare', 'group', 'decrease', 'hypnotic', 'posttreatment', 'follow', 'evidence', 'withdrawal', 'side', 'effect', 'daytime', 'function', 'include', 'anxiety', 'depression', 'improve', 'posttreatment', 'rigorous', 'methodological', 'feature', 'include', 'documentation', 'strong', 'treatment', 'implementation', 'presence', 'credible', 'placebo', 'elevate', 'confidence', 'due', 'finding', 'conclusion', 'gradual', 'associated', 'substantial', 'hypnotic', 'reduction', 'posttreatment', 'follow', 'withdrawal', 'side', 'effect', 'absent', 'supplement', 'cbt', 'participant', 'accrue', 'incremental', 'self', 'report', 'psg', 'benefit']"
5,5,37.0,0.6657999753952026,"face, unclear, superior, behavioral, identity, measure, anxiolytic, control, display, possible","['attention', 'reduce', 'speech', 'mechanism', 'mediate', 'anxiolytic', 'effect', 'remain', 'unclear', 'accordingly', 'randomly_assigned', 'speech', 'anxious', 'subject', 'receive', 'session', 'training', 'condition', 'subject', 'view', 'pair', 'photograph', 'model', 'display', 'disgust', 'joy', 'computer', 'screen', 'probe', 'always', 'replace', 'positive', 'face', 'subject', 'push', 'button', 'indicate', 'identity', 'probe', 'rapidly', 'possible', 'inverse', 'condition', 'probe', 'always', 'replace', 'negative', 'face', 'control', 'condition', 'probe', 'replace', 'face', 'type', 'equally', 'often', 'training', 'session', 'group', 'exhibit', 'statistically', 'significant', 'reduction', 'self', 'report', 'behavioral', 'physiological', 'measure', 'speech', 'anxiety', 'self', 'report', 'behavioral', 'measure', 'attentional', 'control', 'improve', 'likewise', 'contrary', 'early', 'study', 'abm', 'superior', 'control', 'procedure', 'produce', 'reduction', 'measure', 'social', 'anxiety']"
6,6,46.0,0.4075999855995178,"support, information, effect, dimension, highly, enhance, social, provide, additional, daily","['motivational', 'support', 'provide', 'email', 'improve', 'effectiveness', 'internet_delivered', 'self', 'help', 'treatment', 'randomized', 'trialinternet', 'deliver', 'treatment', 'effective', 'insomnia', 'little', 'know', 'beneficial', 'effect', 'support', 'aim', 'current', 'study', 'investigate', 'additional', 'effect', 'low', 'intensity', 'support', 'internet_delivered', 'treatment', 'insomnia', 'participant', 'randomize', 'internet_delivered', 'intervention', 'insomnia', 'support', 'participant', 'receive', 'internet_delivere', 'cognitive', 'behavioral', 'treatment', 'insomnia', 'addition', 'participant', 'support', 'condition', 'receive', 'weekly', 'email', 'assessment', 'treatment', 'month_follow', 'group', 'effectively', 'ameliorate', 'insomnia', 'complaint', 'add', 'support', 'lead', 'significantly', 'high', 'effect', 'sleep', 'measure', 'self', 'report', 'severity', 'anxiety', 'depressive', 'symptom', 'month_follow', 'effect', 'remain', 'significant', 'sleep', 'efficiency', 'symptom', 'depressive', 'symptom', 'provide', 'support', 'significantly', 'enhance', 'benefit', 'internet_delivered', 'treatment', 'insomnia', 'several', 'variable', 'appear', 'motivational', 'feedback', 'increase', 'effect', 'intervention', 'encourage', 'participant', 'complete', 'intervention', 'turn', 'improve', 'effectiveness']"
7,7,37.0,0.6585000157356262,"face, unclear, superior, behavioral, identity, measure, anxiolytic, control, display, possible","['attention', 'reduce', 'speech', 'anxiety', 'mechanism', 'mediate', 'anxiolytic', 'effect', 'remain', 'unclear', 'accordingly', 'randomly_assigned', 'speech', 'anxious', 'subject', 'receive', 'session', 'training', 'condition', 'subject', 'view', 'pair', 'photograph', 'model', 'display', 'disgust', 'joy', 'computer', 'screen', 'probe', 'always', 'replace', 'positive', 'face', 'subject', 'push', 'button', 'indicate', 'identity', 'probe', 'rapidly', 'possible', 'inverse', 'condition', 'probe', 'always', 'replace', 'negative', 'face', 'control', 'condition', 'probe', 'replace', 'face', 'type', 'equally', 'often', 'training', 'session', 'group', 'exhibit', 'statistically', 'significant', 'reduction', 'self', 'report', 'behavioral', 'physiological', 'measure', 'speech', 'anxiety', 'self', 'report', 'behavioral', 'measure', 'attentional', 'control', 'improve', 'likewise', 'contrary', 'early', 'study', 'abm', 'superior', 'control', 'procedure', 'produce', 'reduction', 'measure', 'social', 'anxiety']"
8,8,26.0,0.33730000257492065,"depression, patient, anxiety, study, result, conclusion, high, method, measure, associate","['acceptance', 'base', 'group', 'therapy', 'traditional', 'cognitive', 'behavioral', 'group', 'therapy', 'anxiety', 'disorder', 'randomized_controlle', 'trial', 'recent', 'research', 'support', 'mindfulness', 'acceptance', 'base', 'intervention', 'anxiety', 'disorder', 'sad', 'purpose', 'present', 'study', 'compare', 'mindfulness', 'acceptance', 'base', 'group', 'therapy', 'cognitive', 'behavioral', 'group', 'therapy', 'cbgt', 'respect', 'outcome', 'hypothesize', 'would', 'group', 'significantly', 'different', 'individual', 'mean', 'age', 'year', 'female', 'white', 'asian', 'diagnose', 'sad', 'randomly_assigne', 'primary', 'social', 'anxiety', 'symptom', 'severity', 'assess', 'baseline', 'treatment', 'midpoint', 'treatment', 'completion', 'cognitive', 'depression', 'value', 'living', 'group', 'cohesion', 'also', 'assess', 'hypothesize', 'significantly', 'different', 'social', 'anxiety', 'reduction', 'variable', 'assess', 'present', 'research', 'provide', 'additional', 'support', 'mindfulness', 'acceptance', 'base', 'treatment', 'sad', 'examine', 'process', 'treatment', 'lead', 'change']"
9,9,30.0,0.569599986076355,"treatment, cbt, therapy, outcome, cognitive, trial, youth, behavioral, symptom, receive","['randomized', 'placebo', 'cognitive', 'behavioral', 'therapy', 'alone', 'combine', 'sertraline', 'treatment', 'pediatric', 'obsessive_compulsive', 'disorder', 'examine', 'efficacy', 'sequential', 'sertraline', 'cognitive', 'behavioral', 'therapy', 'cbt', 'treatment', 'relative', 'cbt', 'week', 'child', 'adolescent', 'disorder', 'child', 'adolescent', 'range', 'year', 'randomize', 'week', 'treatment', 'arm', 'sertraline', 'standard', 'dose', 'cbt', 'titrate', 'slowly', 'achieve', 'least', 'week', 'maximally', 'tolerate', 'daily', 'cbt', 'pbo', 'cbt', 'assessment', 'conduct', 'screen', 'baseline', 'week', 'post', 'treatment', 'rater', 'clinician', 'blind', 'randomization', 'status', 'primary', 'outcome', 'include', 'children', 'obsessive_compulsive', 'scale', 'response', 'remission', 'status', 'include', 'child', 'obsessive_compulsive', 'impact', 'scale', 'parent', 'child', 'children', 'depression', 'revise', 'anxiety', 'scale', 'child', 'clinical', 'global', 'impression', 'severity', 'group', 'exhibit', 'large', 'group', 'effect', 'outcome', 'group', 'time', 'interaction', 'outcome', 'suggest', 'group', 'change', 'time', 'comparable', 'youth', 'ocd', 'evidence', 'sequentially', 'provide', 'sertraline', 'cbt', 'differ', 'receive', 'placebo', 'cbt']"
