,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,28.0,0.9613999724388123,"depression, experience, know, write, today, take, go, time, day, year","['black', 'dog', 'light', 'end', 'tunnel', 'black', 'dog', 'light', 'end', 'write', 'first', 'appear', 'website', 'midlife', 'coach', 'stand', 'much', 'write', 'back', 'grateful', 'stigma', 'easily', 'mental', 'health', 'much', 'easily', 'speak', 'still', 'way', 'go', 'parity', 'understanding', 'physical', 'health', 'year', 'later', 'write', 'blog', 'see', 'differently', 'find', 'shy', 'post', 'time', 'know', 'avoid', 'tough', 'subject', 'depression', 'subject', 'well', 'many', 'year', 'however', 'always', 'case', 'intention', 'writing', 'depression', 'share', 'experience', 'frankly', 'openly', 'hope', 'inspire', 'support', 'go', 'private', 'hell', 'depression', 'serious', 'illness', 'mental', 'illness', 'sadly', 'carry', 'huge', 'stigma', 'frustrate', 'people', 'fearful', 'society', 'large', 'heart', 'condition', 'diabete', 'break', 'leg', 'dream', 'attend', 'take', 'advice', 'expert', 'repair', 'damage', 'go', 'call', 'weak', 'unable', 'fix', 'broken', 'leg', 'often', 'hear', 'people', 'say', 'see', 'professional', 'therapist', 'order', 'gain', 'insight', 'trouble', 'mind', 'take', 'medication', 'depression', 'help', 'begin', 'make', 'sense', 'depression', 'feel', 'sad', 'feeling', 'bit', 'bad', 'mood', 'depression', 'blackness', 'depression', 'suck', 'emotion', 'leave', 'feel', 'hollow', 'numb', 'deep', 'sense', 'hopelessness', 'loneliness', 'depression', 'drain', 'world', 'taste', 'smell', 'experience', 'black', 'bleak', 'place', 'mind', 'spend', 'teenage', 'year', 'depression', 'suffer', 'chronic', 'post', 'natal', 'depression', 'suffer', 'battle', 'deteriorate', 'marriage', 'day', 'could', 'barely', 'bed', 'go', 'around', 'sort', 'coma', 'would', 'panic', 'attack', 'collect', 'child', 'school', 'face', 'especially', 'close', 'time', 'even', 'speak', 'fear', 'open', 'flood', 'gate', 'tear', 'lose', 'huge', 'amount', 'weight', 'develop', 'asthma', 'tonsillitis', 'permanently', 'simple', 'day', 'task', 'become', 'still', 'battle', 'spend', 'time', 'get', 'today', 'take', 'medication', 'spend', 'time', 'variety', 'therapist', 'help', 'piece', 'life', 'back', 'together', 'today', 'know', 'trigger', 'know', 'handle', 'say', 'live', 'life', 'perpetual', 'state', 'nirvana', 'realistic', 'yet', 'let', 'blue', 'day', 'affect', 'devastating', 'way', 'use', 'alone', 'brother', 'stand', 'hold', 'hand', 'mumford', 'son', 'thought', 'help', 'bleak', 'period', 'keep', 'focused', 'today', 'make', 'claim', 'expert', 'simply', 'idea', 'may', 'turn', 'give', 'strength', 'take', 'pick', 'create', 'depression', 'would', 'lifestyle', 'choice', 'however', 'even', 'write', 'blog', 'bring', 'back', 'excruciating', 'memory', 'grateful', 'experience', 'woman', 'today', 'experience', 'experience', 'good', 'bad', 'ugly', 'blog', 'inspire', 'anyway', 'let', 'know', 'close', 'heart', 'share', 'know', 'may', 'silently', 'suffer', 'love', 'com']"
1,1,31.0,0.9919999837875366,"anxiety, attack, emotional, symptom, feel, control, may, physical, also, experience","['flat', 'land', 'up', 'down', 'flat', 'land', 'up', 'down', 'ride', 'lithium', 'train', 'year', 'give', 'stability', 'also', 'rid', 'emotion', 'usually', 'problem', 'situation', 'emotion', 'useful', 'talk', 'feeling', 'wedding', 'feel', 'daily', 'basis', 'toll', 'become', 'slightly', 'disconnected', 'world', 'feel', 'make', 'bad', 'time', 'stress', 'low', 'sleep', 'may', 'link', 'emotion', 'really', 'feel', 'stress', 'anxiety', 'dose', 'lithium', 'unusual', 'side', 'effect', 'experience', 'uncommon', 'make', 'right', 'realise', 'allow', 'danger', 'other', 'seem', 'medicate', 'closest', 'good', 'option', 'nhs', 'willing', 'look', 'med', 'co', 'operate', 'well', 'past', 'year', 'note', 'year', 'difference', 'first', 'medication', 'always', 'good', 'patient', 'willing', 'give', 'relent', 'come', 'conclusion', 'lithium', 'stable', 'still', 'agree', 'point', 'point', 'really', 'appropriate', 'emotional', 'response']"
2,2,31.0,0.9966999888420105,"anxiety, attack, emotional, symptom, feel, control, may, physical, also, experience","['emotional', 'physical', 'anxiety', 'occur', 'emotional', 'physical', 'anxiety', 'occur', 'result', 'lifestyle', 'live', 'nowadays', 'anxiety', 'symptom', 'show', 'may', 'recognize', 'right', 'away', 'symptom', 'anxiety', 'pretty', 'obvious', 'know', 'look', 'control', 'anxiety', 'tell', 'person', 'already', 'experience', 'anxiety', 'degree', 'confusing', 'diagnose', 'properly', 'really', 'honest', 'fortunately', 'guide', 'help', 'identify', 'common', 'symptom', 'control', 'anxiety', 'click', 'anxiety', 'commonly', 'perpetuate', 'society', 'people', 'think', 'anxiety', 'condition', 'sick', 'true', 'reality', 'case', 'anxiety', 'emotional', 'physical', 'even', 'panic', 'attack', 'strike', 'make', 'person', 'feel', 'heart', 'attack', 'merely', 'experience', 'effect', 'adrenaline', 'course', 'nervous', 'system', 'body', 'natural', 'response', 'fearful', 'thought', 'subconscious', 'fight', 'flight', 'response', 'important', 'keep', 'safe', 'emergency', 'unfortunately', 'people', 'brain', 'trouble', 'differentiate', 'fantasy', 'imminent', 'danger', 'therefore', 'fearful', 'thought', 'cause', 'body', 'respond', 'actually', 'real', 'situation', 'call', 'adrenal', 'reaction', 'find', 'kind', 'anxiety', 'initial', 'kind', 'could', 'emotional', 'nervousness', 'may', 'physical', 'anxiety', 'feeling', 'typically', 'common', 'psychological', 'anxiety', 'symptom', 'display', 'follow', 'control', 'anxiety', 'click', 'aside', 'struggle', 'relate', 'emotional', 'anxiousness', 'may', 'also', 'afflict', 'actual', 'nervousness', 'anxiety', 'also', 'prone', 'physical', 'panic', 'attack', 'sign', 'symptom', 'follow', 'tend', 'perspiration', 'heavily', 'can', 'enough', 'proper', 'sleep', 'feeling', 'associate', 'dizziness', 'experience', 'nausea', 'frequent', 'urinate', 'fatigue', 'heart', 'pounding', 'anxiety', 'occur', 'show', 'forewarn', 'anxiety', 'actually', 'bring', 'simply', 'thought', 'stress', 'exist', 'daily', 'life', 'sometimes', 'anxiety', 'attack', 'feel', 'bad', 'thing', 'world', 'may', 'even', 'think', 'heart', 'attack', 'die', 'never', 'case', 'understand', 'symptom', 'anxiety', 'ansiedade', 'panic', 'attack', 'help', 'manage', 'anxiety', 'also', 'assist', 'loved', 'one', 'struggle', 'thing', 'many', 'option', 'manage', 'overcome', 'anxiety', 'visit', 'site', 'www', 'whitedischarge', 'net', 'learn', 'take', 'back', 'control', 'life', 'let', 'anxiety', 'win', 'control', 'anxiety', 'originally_published', 'com']"
3,3,26.0,0.7188000082969666,"anxiety, deal, feel, live, know, inspiration, deserve, loss, give, story","['deal', 'anxiety']"
4,4,24.0,0.9954000115394592,"baseball, well, feel, bad, non, twin, good, post, time, positive","['feel', 'age', 'age', 'staypositive', 'well', 'feel', 'rambling', 'point', 'offer', 'speculation', 'hope', 'try', 'remain', 'positive', 'point', 'negative', 'twin', 'team', 'go', 'ahead', 'show', 'stick', 'good', 'time', 'bad', 'childhood', 'memory', 'make', 'bad', 'baseball', 'go', 'twin', 'metrodome', 'contraction', 'talk', 'try', 'tell', 'bad', 'thankful', 'maybe', 'maybe', 'positive', 'vibe', 'stand', 'flow', 'limestone', 'wall', 'player', 'height', 'guess', 'put', 'finish', 'touch', 'post', 'first', 'thank', 'section', 'couple', 'sorry', 'long', 'wind', 'fluff', 'post', 'really', 'new', 'news', 'lack', 'attendance', 'game', 'package', 'split', 'plenty', 'game', 'also', 'sorry', 'previous', 'post', 'non', 'baseball', 'however', 'feel', 'mental', 'health', 'important', 'mainly', 'important', 'affect', 'always', 'bring', 'non', 'baseball', 'stuff', 'dead', 'period', 'open', 'platform', 'think', 'well', 'time', 'tell', 'think', 'non', 'baseball', 'banter', 'would', 'read', 'skip', 'hate', 'say', 'early', 'baseball', 'story', 'probably', 'focus', 'time', 'may', 'drift', 'may', 'also', 'cover', 'non', 'baseball', 'stuff', 'turn', 'baseball', 'story', 'thank', 'thank', 'dear', 'reader', 'feel', 'free', 'introduce', 'let', 'know', 'enjoy', 'aspect', 'would', 'hear', 'less', 'expect', 'actually', 'regular', 'reader', 'happen', 'blog', 'want', 'hear', 'know', 'goal', 'well', 'whole', 'blogging', 'thing', 'provide', 'good', 'insight', 'twin', 'fan', 'well', 'make', 'bit', 'personal', 'humorous', 'stay', 'positive', 'twin', 'fan']"
5,5,33.0,0.9947999715805054,"anxiety, thank, know, call, help, life, live, mental, time, still","['still', 'anxiously', 'wait', 'still', 'anxiously', 'wait', 'writing', 'anxiety', 'specifically', 'today', 'importantly', 'moment', 'feel', 'edge', 'talk', 'great', 'way', 'minimize', 'anxiety', 'worry', 'stress', 'large', 'attack', 'also', 'see', 'doctor', 'therapist', 'recently', 'start', 'medication', 'concerned', 'medication', 'know', 'sooner', 'get', 'control', 'well', 'life', 'longer', 'live', 'stress', 'anxiety', 'depression', 'show', 'contribute', 'factor', 'heart', 'problem', 'long', 'story', 'make', 'short', 'talk', 'problem', 'public', 'open', 'know', 'people', 'face', 'similar', 'issue', 'understand', 'possibly', 'help', 'time', 'take', 'back', 'sanity', 'keep', 'bottle', 'thing', 'bad', 'baseball', 'life', 'similar', 'mental', 'stay', 'game', 'keep', 'mind', 'health', 'know', 'ball', 'still', 'thank', 'attach', 'thank', 'wife', 'support', 'struggle', 'battle', 'tough', 'time', 'always', 'listen', 'thank', 'sit', 'last', 'week', 'talk', 'anxiety', 'medication', 'bring', 'health', 'expect', 'thank', 'parent', 'rest', 'family', 'take', 'phone', 'call', 'random', 'time', 'get', 'episode', 'thank', 'season', 'ticket', 'help', 'understand', 'thing', 'anxiety', 'learn', 'life', 'thank', 'implement', 'rule', 'hopefully', 'decrease', 'mental', 'injury', 'help', 'player', 'suffer', 'mental', 'illness', 'injury', 'look', 'article', 'player', 'anxiety', 'help', 'know', 'affect']"
6,6,18.0,0.5644000172615051,"ask, time, let, work, go, keep, point, much, write, plot",['ask']
7,7,21.0,0.9958000183105469,"time, go, word, spend, plot, anxiety, let, point, much, passage","['get', 'writer', 'get', 'writer', 'anxiety', 'much', 'use', 'believe', 'must', 'keep', 'iron', 'grip', 'word', 'write', 'want', 'lose', 'word', 'count', 'also', 'use', 'write', 'passage', 'even', 'sentence', 'seem', 'especially', 'eloquent', 'pithy', 'must', 'cost', 'keep', 'manuscript', 'eloquent', 'pithy', 'anxiety', 'even', 'destructive', 'word', 'count', 'anxiety', 'literally', 'keep', 'stuck', 'month', 'case', 'spend', 'much', 'time', 'realize', 'time', 'spend', 'procrastinate', 'particular', 'passage', 'massage', 'prose', 'think', 'perfect', 'really', 'overwork', 'old', 'dog', 'work', 'bone', 'actually', 'start', 'get', 'little', 'small', 'waste', 'time', 'overwork', 'passage', 'also', 'spend', 'much', 'time', 'tinker', 'part', 'book', 'refuse', 'give', 'spend', 'much', 'time', 'pitch', 'would', 'waste', 'time', 'trouble', 'pivotal', 'point', 'plot', 'need', 'drastic', 'revision', 'order', 'make', 'sense', 'revision', 'would', 'mean', 'point', 'would', 'go', 'away', 'possible', 'month', 'fallowness', 'result', 'factor', 'include', 'crazy', 'hour', 'day', 'job', 'convince', 'part', 'blockage', 'love', 'passage', 'decide', 'go', 'reshape', 'plot', 'let', 'go', 'new', 'plot', 'come', 'together', 'really', 'quickly', 'moral', 'story', 'sometimes', 'let', 'go', 'word', 'count', 'allow', 'new', 'word', 'count', 'grow', 'sometimes', 'let', 'go', 'plot', 'point', 'let', 'new', 'plot', 'point', 'develop', 'take', 'loss', 'time', 'spend', 'perfect', 'part', 'later', 'scrap', 'moral', 'develop', 'skill', 'write', 'well', 'write', 'well', 'today', 'tomorrow', 'day', 'reason', 'hang', 'good', 'writing', 'fear', 'last', 'hoard', 'know', 'hoard', 'never', 'healthy', 'originally_published', 'com']"
8,8,14.0,0.9549000263214111,"work, faith, take, way, keep, thing, control, life, time, action","['thing', 'work', 'keep', 'faith', 'tough', 'timesthing', 'work', 'keep', 'faith', 'tough', 'time', 'stop', 'focus', 'way', 'work', 'try', 'control', 'way', 'work', 'keep', 'open', 'mind', 'pull', 'get', 'bearing', 'believe', 'take', 'action', 'originally_published', 'stronginsideout', 'com', 'get', 'close', 'birthday', 'start', 'reflect', 'much', 'grow', 'last', 'year', 'major', 'change', 'help', 'overcome', 'much', 'anxiety', 'adopt', 'faith', 'fact', 'work', 'darkest', 'time', 'use', 'panic', 'littlest', 'thing', 'would', 'go', 'wrong', 'remember', 'day', 'old', 'turbo', 'suddenly', 'lose', 'power', 'drive', 'busy', 'freak', 'call', 'mom', 'sob', 'danger', 'pull', 'side', 'road', 'figure', 'simple', 'attachment', 'idea', 'thing', 'must', 'go', 'certain', 'way', 'shatter', 'go', 'way', 'unexpected', 'threaten', 'shove', 'wall', 'enough', 'hold', 'faith', 'thing', 'work', 'ask', 'key', 'handle', 'life', 'much', 'love', 'control', 'situation', 'throw', 'truth', 'control', 'react', 'situation', 'old', 'news', 'right', 'say', 'time', 'want', 'talk', 'today', 'belief', 'work', 'way', 'keep', 'faith', 'even', 'dark', 'time', 'find', 'light', 'faster', 'today', 'post', 'actively', 'keep', 'faith', 'life', 'today', 'post', 'give', 'crumble', 'let', 'challenge', 'face', 'overcome', 'today', 'day', 'stand', 'strong', 'allow', 'challenge', 'come', 'way', 'know', 'come', 'strong', 'side', 'addition', 'keep', 'faith', 'list', 'thing', 'remember', 'make', 'life', 'flow', 'much', 'easy', 'belief', 'remember', 'tip', 'list', 'ensure', 'stay', 'strong', 'even', 'tough', 'situation', 'focus', 'bad', 'possible', 'outcome', 'likely', 'fulfill', 'fear', 'remember', 'talk', 'self', 'fulfil', 'prophecy', 'real', 'deal', 'pull', 'post', 'read', 'avoid', 'faith', 'require', 'effort', 'take', 'action', 'talk', 'know', 'pre', 'dispose', 'eeyore', 'type', 'thinking', 'may', 'require', 'bit', 'effort', 'part', 'stay', 'positive', 'notice', 'start', 'drift', 'wart', 'mindframe', 'stop', 'redirect', 'thought', 'positive', 'direction', 'good', 'possible', 'scenario', 'take', 'action', 'create', 'outcome', 'luck', 'create', 'action', 'interpretation', 'life', 'deal', 'make', 'lucky', 'person', 'know', 'apply', 'pessimistic', 'optimistic', 'idea', 'future', 'hold', 'control', 'thing', 'add', 'outcome', 'work', 'much', 'work', 'put', 'life', 'reach', 'certain', 'point', 'must', 'give', 'control', 'could', 'drive', 'mad', 'much', 'frustration', 'anxiety', 'worry', 'depression', 'come', 'fact', 'try', 'control', 'thing', 'simply', 'can', 'control', 'faith', 'work', 'force', 'happen', 'way', 'see', 'happen', 'often', 'time', 'life', 'throw', 'unexpecte', 'keep', 'open', 'mind', 'unexpected', 'event', 'seem', 'possibility', 'obstacle', 'start', 'view', 'unexpected', 'opportunity', 'accomplish', 'goal', 'new', 'way', 'thing', 'work', 'way', 'could', 'never', 'plan', 'keep', 'door', 'open', 'allow', 'unexpected', 'open', 'door', 'never', 'see', 'car', 'lose', 'power', 'take', 'time', 'pull', 'keep', 'freak', 'take', 'second', 'pull', 'take', 'breath', 'would', 'realize', 'danger', 'would', 'work', 'would', 'affect', 'take', 'time', 'pull', 'ground', 'take', 'deep', 'breath', 'take', 'time', 'close', 'eye', 'ask', 'opportunity', 'situation', 'event', 'strengthen', 'let', 'pull', 'category', 'stop', 'focus', 'way', 'work', 'want', 'encourage', 'instead', 'focus', 'positive', 'take', 'action', 'align', 'positive', 'action', 'key', 'realization', 'try', 'create', 'life', 'want', 'thing', 'likely', 'work', 'favor', 'must', 'exert', 'effort', 'must', 'work', 'must', 'allow', 'happen', 'make', 'space', 'opportunity', 'life', 'reach', 'point', 'control', 'outcome', 'reach', 'point', 'take', 'work', 'break', 'goal', 'mini', 'goal', 'make', 'plan', 'action', 'add', 'faith', 'fact', 'work', 'major', 'force', 'reckon', 'today', 'guy', 'later', 'week', 'keep', 'faith', 'stay', 'strong', 'teacher', 'force', 'strong', 'post', 'originally_published', 'stronginsideout', 'com', 'site', 'devote', 'help', 'build', 'individual', 'health', 'mind', 'body', 'spirit', 'scale', 'judgment', 'join', 'email', 'list', 'weekly', 'inspiration', 'goody', 'click']"
9,9,33.0,0.9926999807357788,"anxiety, thank, know, call, help, life, live, mental, time, still","['hack', 'old', 'cat', 'really', 'begin', 'stage', 'death', 'ache', 'pain', 'suddenly', 'escalate', 'become', 'permanent', 'let', 'leave', 'argument', 'problem', 'resolve', 'suddenly', 'die', 'stuck', 'guilt', 'bad', 'part', 'elderly', 'person', 'live', 'alone', 'essentially', 'eleanor', 'rigby', 'weird', 'garbage', 'bag', 'side', 'road', 'contain', 'whole', 'body', 'child', 'assort', 'body', 'part', 'adult', 'phone', 'call', 'mother', 'usual', 'hour', 'announce', 'death', 'close', 'relative', 'phone', 'call', 'close', 'relative', 'announce', 'death', 'mother', 'bug', 'float', 'drink', 'widow', 'bug', 'probably', 'drink', 'person', 'life', 'know', 'embarrassing', 'message', 'board', 'use', 'frequent', 'waiting', 'bring', 'front', 'large', 'group', 'people', 'afraid', 'lose', 'vision', 'probably', 'lose', 'sense', 'pay', 'attention', 'descendent', 'disappoint', 'well', 'story', 'poop', 'pant', 'die', 'spurgeon', 'writer', 'live', 'twitter', 'account', 'grandma', 'follow']"
