corpus,corpus_year,query_source,query_year,query,query_topicID,best_match,best_match_score,best_match_topicID
Medium,2020,Academic,2012,"['mdd', 'patient', 'generalize', 'disorder', 'relationship', 'linear', 'gain', 'anxiety', 'way', 'rate']",0,"['disorder', 'symptom', 'therapy', 'treatment', 'therapist', 'patient', 'trigger', 'treat', 'medical', 'common']",0.694278180599213,0
Medium,2016,Academic,2012,"['sleep', 'hybrid', 'monitoring', 'insomnia', 'acceptability', 'diary', 'end', 'ancillary', 'durability', 'isolation']",1,"['high', 'treat', 'human', 'relationship', 'test', 'normal', 'act', 'task', 'pressure', 'sleep']",0.693429291248322,34
Medium,2018,Academic,2012,"['mood', 'disorder', 'depressive', 'depressed', 'anxious', 'history', 'relevant', 'anxiety', 'self', 'depression']",2,"['mental', 'mental_health', 'mental_illness', 'recovery', 'alcohol', 'illness', 'stigma', 'management', 'issue', 'health']",0.760410308837891,13
Medium,2016,Academic,2012,"['exposure', 'disaster', 'may', 'follow', 'involvement', 'family', 'define', 'brief', 'new', 'effect']",3,"['shame', 'salt', 'grand', 'passionate', 'motion', 'regret', 'adventure', 'edge', 'exhausted', 'feed']",0.646848261356354,26
Medium,2019,Academic,2012,"['anxiety', 'worry', 'cognitive', 'review', 'model', 'test', 'consider', 'later', 'work', 'old']",4,"['wait', 'illusion', 'odd', 'fat', 'silence', 'silent', 'depress', 'weigh', 'comfort', 'crush']",0.69291615486145,8
Medium,2020,Academic,2012,"['social', 'participant', 'positive', 'anxiety', 'take', 'cue', 'train', 'reduce', 'control', 'approach']",5,"['negative', 'positive', 'energy', 'peace', 'thinking', 'awareness', 'relax', 'attention', 'listen', 'physical']",0.766258180141449,3
Medium,2015,Academic,2012,"['effect', 'participant', 'complete', 'act', 'may', 'week', 'clinical', 'affect', 'exercise', 'test']",6,"['condition', 'symptom', 'perspective', 'irrational', 'intrusive_thought', 'sex', 'physical', 'result', 'sufferer', 'behaviour']",0.661772310733795,0
Medium,2018,Academic,2012,"['ptsd', 'trauma', 'alcohol', 'perceive', 'status', 'consequence', 'rate', 'incremental', 'high', 'patient']",7,"['mental', 'mental_health', 'mental_illness', 'recovery', 'alcohol', 'illness', 'stigma', 'management', 'issue', 'health']",0.714758813381195,13
Medium,2018,Academic,2012,"['patient', 'anxiety', 'cognitive', 'treatment', 'outcome', 'depression', 'nightmare', 'use', 'disorder', 'therapy']",8,"['symptom', 'social', 'disorder', 'treatment', 'diagnose', 'patient', 'physical', 'medical', 'condition', 'therapy']",0.81765478849411,20
Medium,2018,Academic,2012,"['threat', 'bias', 'attention', 'reactivity', 'delay', 'show', 'reduction', 'activation', 'stimulus', 'anxiety']",9,"['response', 'system', 'fight', 'release', 'event', 'training', 'threat', 'program', 'boss', 'respond']",0.714135944843292,37
Medium,2014,Academic,2012,"['symptom', 'study', 'increase', 'report', 'health', 'relate', 'age', 'high', 'level', 'psychopathology']",10,"['symptom', 'reduce', 'increase', 'university', 'department', 'sleep', 'health', 'melbourne', 'food', 'nutrition']",0.781715512275696,31
Medium,2017,Academic,2012,"['self', 'remission', 'depression', 'anxiety', 'implicit', 'explicit', 'psychosis', 'association', 'unipolar', 'symptom']",11,"['mental_health', 'health', 'medication', 'issue', 'support', 'mental_illness', 'illness', 'drug', 'mental', 'seek']",0.742339909076691,23
