,0
Who Could Become the Data Sheriff?,"In an article I wrote for the Week in Review section last Sunday, I noted that no federal laws existed to punish companies when customers' personal information and data were stolen in cyber-attacks, or mishandled by companies. And so punishment in these cases is left up to the states. Yet in many instances, state officials don't have the resources to tackle this problem, and even acknowledge that they don't always understand the technical aspects of breaches. Some government officials, though, are pressing for new federal legislation on this subject. Senator Al Franken, the former comedian and a Democrat from Minnesota, is one of them. As chairman of a new Senate Judiciary subcommittee on privacy and technology, he held a hearing on Tuesday and questioned Google and Apple executivesabout storing customers' locations without their knowledge on mobile devices. Representatives from Apple and Google defended their data collection practices, noting that location information was anonymous. But Mr. Franken said the problem was that ""these breaches of privacy can have real consequences for real people."" Senator Richard Blumenthal, a Democrat from Connecticut and the former attorney general of that state, has also been pressing Congress to adopt new laws that would hold companies accountable for data breaches. Mr. Blumenthal has publicly chided Sony for its slow response to a cyber-attack last month that could have resulted in the theft of private information of 77 million customers. A House subcommittee has also been holding hearings over the past month to question Sony as well as Epsilon, an e-mail marketing company that also suffered a hacking attack resulting in the loss of millions of e-mail addresses. The Securities and Exchange Commission is  being urged by senators to create new rules that would require companies to immediately disclose when they have been the victim of a cyber-attack, specifically when personal information has been compromised. To date, some states require that companies notify customers within seven days of an attack, but these laws are loose and vary per state. But many privacy experts I spoke with said that privacy legislation had been presented to Congress in the past, but never seemed to become law. Some argued that the current discussion in Congress would not result in strict enough rules anyway. ""The government clearly needs better security and data protection rules,"" said Eugene Spafford, a security expert and professor at Purdue University. He suggested that the Federal Trade Commission should set up data protection standards and have the ability to discipline companies that did not comply with those rules. ""The government should be looking at financial institutions who are doing a very good job protecting information online as these companies have a tradition of understanding risk,"" Mr. Spafford suggested. Ken Johnson, senior adviser and spokesman for Representative Mary Bono Mack, a California Republican who is chairwoman of a Congressional privacy subcommittee, said one of the legislative roadblocks in the past had been ""jurisdictional squabbling."" Mr. Johnson said the string of data breaches in recent months would hopefully lead regulators to ""put aside political squabbles, and do what's best for consumers."" One piece of legislation that seems to have bipartisan support was introduced in April by Senators John Kerry, Democrat of Massachusetts, and John McCain, Republican of Arizona. The bill, the Commercial Privacy Bill of Rights Act of 2011, would require companies to adopt specific security rules if they decided to store people's private information.   "
Senator Introduces Online Security Bill,"Senator Richard Blumenthal, Democrat of Connecticut, introduced a new bill Thursday that aims to protect citizens' personal information from online data breaches. The bill would also punish companies that are careless with customers'  information. ""The goal of the proposed law is essentially to hold accountable the companies and entities that store personal information and personal data and to deter data breaches,"" Senator Blumenthal said in a phone interview. ""While looking at past data breaches, I've been struck with how many are preventable."" The new bill, called the Personal Data Protection and Breach Accountability Act of 2011, comes at a time when online privacy and security are hot topics in Congress. The White House has also been involved in discussions around new online privacy rules and legislation.  The bill presented by Senator Blumenthal would introduce regulations for companies that store online data for more than 10,000 people. These rules would require companies to follow specific storage guidelines and ensure that personal information is stored and protected correctly. Companies that do not adhere to these security guidelines could be subject to stiff fines.  Senator Blumenthal was a vociferous critic of Sony's handling of an attack on its servers earlier this year, which put data from 77 million customers at risk. At the time, the senator pressed Sony to disclose the extent of the damage and to notify customers who had been affected. If the new bill passes, Senator Blumenthal said, customers would be able to sue companies, like Sony, that do not take adequate precautions. ""The Sony data breach has became a poster child of why we need this law,"" he said. ""We were working on this legislation well before that data breach occurred, but Sony is a good example of why this law should exist.""   "
Who Really Sent That E-Mail?: Stronger rules and better business practices are needed to head off data breaches,"Americans are right to be concerned about a huge data breach at an online marketing company, Epsilon, which resulted in the theft of names and e-mail addresses for customers and employees of some of the nation's largest businesses, including Citibank, Disney and Verizon.  Epsilon issued a statement assuring that no other information was compromised. But millions of consumers could still be vulnerable to sophisticated identity-theft ploys -- ''spear phishing'' -- in which scammers target e-mails to specific people and make it appear as if they came from a company they trust. Familiarity can lure victims into clicking on links, downloading malware, or responding to requests for account numbers or passwords. This is not an isolated case. Last month, at RSA, which produces SecurID tokens, an employee received an e-mail entitled ''2011 Recruitment Plan'' and clicked on its Excel attachment. This released a program that gave hackers access to the company's network and allowed them to lift information about the tokens. Two years ago, the Justice Department charged a 28-year-old from Miami and two Russians with stealing 130 million credit card numbers from one of the world's largest payment processing companies. Last year there were large-scale data breaches at Affinity Health Plan, Lincoln Financial Securities and Ohio State University. Epsilon has provided few details, saying the breach is subject to an investigation. The public and policy makers need to understand how the hack took place to determine how vulnerable sensitive information really is and figure out what further safeguards are needed to protect it. The breach at Epsilon underscores the urgent need for a federal standard of data safety that ensures companies follow adequate policies and procedures to protect consumers' information and determines companies' legal liability for breaches. As Congress debates new data privacy rules, it should put data security at the forefront. Possibilities include imposing maximum periods for retaining personal data and rules about how to protect data that is flowing through corporate networks, stored on corporate servers or, increasingly, on the cloud. It certainly seems risky to have one company handle sensitive information about the customers of so many large firms. Consumers must also be vigilant. For starters, they should be wary about clicking on any e-mail attachment, even if it comes with a seemingly personal greeting from a business they know and trust.  "
Tracking File Found In iPhones,"Apple faced questions on Wednesday about the security of its iPhone and iPad after a report that the devices regularly record their locations in a hidden file. The report came from a technology conference in San Francisco, where two computer programmers presented research showing that the iPhone and 3G versions of the iPad began logging users' locations a year ago, when Apple updated its mobile operating system. After customers upgraded the software, a new hidden file began periodically storing location data, apparently gleaned from nearby cellphone towers and Wi-Fi networks, along with the time.  The data is stored on a person's phone or iPad, but when the device is synced to a computer, the file is copied over to the hard drive, the programmers said. The data is not normally encrypted; although users can encrypt their information when they sync their devices, few do. To some privacy advocates, the storing of the data was a clear breach. ''The secretive collection of location data crosses the privacy line,'' said Marc Rotenberg, executive director of the Electronic Privacy Information Center, a privacy policy organization based in Washington. ''Apple should know better than to track iPhone users in this way.'' Others said the discovery of the hidden file was unlikely to have a major practical impact on privacy and security. ''It is more symbolic than anything else,'' said Tim O'Reilly, a longtime technology pundit and founder of O'Reilly Media. ''It is one more sign of how devices are collecting data about us and potentially sharing it with others. This is the future. We have to figure out how to deal with it.'' Law enforcement officials can already get this type of location information from cellphone companies, Mr. O'Reilly said; there are, however, conflicting rulings in federal courts about whether they need a search warrant. But sitting on a home computer, the data could now be more vulnerable to access by hackers or others, he said. And information about a person's locations over time could be accessible to strangers if a phone or iPad was lost or if it was attacked by malware. The news of what appeared to be a security problem immediately ricocheted across the Internet as bloggers on technology and Apple-centered sites debated the many questions left unanswered by the report. It is unclear, for example, whether Apple is gaining access to the information in any way. It is also unclear how precise the location data is and why it is being stored at all. The programmers said they had asked Apple's product security team about their findings but did not receive a response. Apple also did not respond to a request for comment from The New York Times. The report even attracted attention from political figures, like Senator Al Franken, Democrat of Minnesota, who sent Apple's chief executive, Steven P. Jobs, a letter asking why Apple was ''secretly compiling'' the data and what it would be used for. Some privacy experts said the issue was not the legality of storing this information but whether Apple was playing fair with its customers. ''Collecting this data is not illegal, but it does matter whether or not this is explicitly spelled out in Apple's terms of use,'' said Christina Gagnier, a lawyer specializing in privacy and copyright. ''Apple constantly changes their privacy policy, and it's questionable whether most users are aware this is happening.'' Apple has an obligation to its customers to allow them to opt out of being tracked, said Ian Glazer of Gartner Research, who is a director in the company's identity and privacy group. ''There is no way to really turn this tracking off,'' he said. ''It needs to be visually obvious, or in the settings, to see that this is happening on your phone.'' Alasdair Allan and Pete Warden presented the paper at the O'Reilly Where 2.0 conference, a gathering of experts on location technology. Mr. Allan said in a blog post that beyond the issue of storing the information is the question of ''how Apple intends to use it -- or not.'' Mr. Allan, who has written books that teach people how to program, also said that the data being collected would be transferred to a new product when customers buy a new phone or iPad, and then sync it. Mr. Warden, a former Apple employee, posted a free downloadable application on his Web site for Mac computers that allows users to see their stored location data on a map. Whatever the privacy implications, the report was a burst of bad publicity for Apple on a day when it again reported stellar earnings results. ''It doesn't matter how Apple explains its way out of this, just the fact that consumers know that their phone is being tracked is a very big deal,'' said Chenxi Wang, a vice president of Forrester Research who specializes in security and risk.  "
Threats to Traveling Data,"With small and fast laptops, powerful smartphones, tablets and readily available Wi-Fi, working on the road -- on planes, in airports and hotel rooms -- has never been easier. But security experts say these conveniences also make the offices away from home more vulnerable to serious security threats. ''It's a huge, huge issue for companies and employees and growing more each day,'' said Bruce McIndoe, president of iJET Intelligent Risk Systems, a travel risk management company. ''It's a ripe environment for hackers and criminals.''  A report released last week by the Symantec Corporation, a security software provider, and the Ponemon Institute, a privacy and information management research firm, found that data breaches showed no sign of leveling off and were increasingly costly. ''As business travelers, we're on the road so much, we psychologically forget that we're in public,'' said Ben Knieff, head of product marketing for fraud at NICE Actimize, a company that focuses on financial crimes in the financial services industry. Mr. Knieff recalled how he was recently boarding a plane and overheard an executive speaking loudly on a cellphone as he booked a hotel, revealing all of his credit card information, including the security code. Laptops and mobile devices have numerous vulnerabilities, starting with loss and theft. McAfee, a security technology company, also noted, in a report last month, a 46 percent increase in the amount of malware created for mobile devices from 2009 to 2010. To limit exposure of particularly sensitive information, some companies switch mobile devices when employees travel, Mr. McIndoe said. ''Older versions could be more vulnerable,'' he said, as criminals have had time to learn how to hack them. And criminal access to mobile networks may be easier in certain foreign countries, because of lax security and corruption. Michael Malin, executive vice president of Mandiant, an information security company, suggested hiding mobile devices when they are unattended. ''We've all seen maids leave hotel room doors open with service carts,'' he said. Someone could easily enter the room and ''infect a computer or extract sensitive data,'' he said. ''We're seeing the use of social networks to gather publicly available information on targets,'' he added. Posting photographs and travel plans can jeopardize personal safety and sensitive business negotiations, experts said. Publicly shared computers at hotels and Internet cafes ''are probably the riskiest,'' Mr. Knieff said. ''Anyone can walk in and sit down,'' he said. Even printing boarding passes can be dangerous. ''Don't leave them in public trash cans either. Anytime you leave data about yourself in a public place, it creates opportunities,'' Mr. Knieff said. Debit card data skimming has also been rising sharply, particularly in Europe and parts of Asia, Mr. Knieff said. He recommended that travelers report their plans to their banks. When using A.T.M.'s, travelers should look for signs of tampering, and use machines only at banks, preferably in protected areas. ''I travel to Southeast Asia frequently, and you hear about how it is a hotbed for credit card fraud,'' said Bryndon Bay, president of Mel Bay Publications, a music publishing company, in Pacific, Mo., who relies on his iPad and iPhone on the road. Both are locked and protected with secure passwords. ''I never go to places where I have to enter frequent-flier numbers, credit card information, or any personal data,'' he said, ''and I always clear off history after I finish because I don't trust who may go on after me.'' ''I just feel I use common sense and it works for me,'' Mr. Bay said. Robert Hamilton, senior product marketing manager for Symantec, recommended avoiding free public Wi-Fi. ''Some look like legitimate hot spots, but they are set up by criminals,'' frequently at airport terminals. If using a wireless connection, he suggested entering it through a smartphone connection, which is much harder to hack. And at hotels, obtain an access key before using the wireless connection, he said, to ensure it is not ''sponsored by the person in the room next door.'' Betsy Page Sigman, a professor of operations and information management at the McDonough School of Business at Georgetown University, said travelers attending conventions should also be aware of the risks. ''You want to be overly cautious, especially if you are around a lot of competitors,'' she said. Bob Austin, president of KoreLogic, an information security consultancy, said, ''If I had a single piece of advice for a business traveler's peace of mind, it is whole disk encryption,'' he said. Used with a robust pass phrase, similar to a password, ''everything on the hard drive is protected from disclosure.'' Many organizations also require their employees to use virtual private networks, which lower the risk of interception when accessing public wireless sites. The V.P.N. sends data through an encrypted tunnel. Tracy Armer, systems manager for the Madison Park Group, a stationery and gift company in Seattle, said sales staff members used both whole disk encryption and V.P.N.'s when traveling, but he discouraged taking laptops unless critical. ''You could be on a business trip, innocently looking up a good place to eat on the Internet, but there is a financial folder open on the desktop,'' he said. ''Someone could potentially browse the contents of your laptop.'' He suggested reading company material on paper while traveling. Unfortunately, he added, ''even with strong precautions, nothing is ever 100 percent secure.''  "
The Most Dangerous Celebrities on the Web,"Heidi Klum is a Victoria's Secret model and the host of the hit reality-TV show ""Project Runway."" But her admirers should beware: Searching online for her name with terms like ""hot pictures"" and ""free downloads"" can bring a cold shower. Ms. Klum is this year's most dangerous celebrity to search for on the Web, according to the security software company McAfee, a unit of Intel. Clicking on links promising sexy pictures or videos of her comes with a nearly one-in-10 chance of contracting a bad case of spyware, adware, phishing scams or other malware. The study uses data from McAfee's free SiteAdvisor product, a tool for the Internet Explorer and Firefox browsers that protects users from malicious Web sites.  Cybercriminals often take advantage of people's interest in celebrities to trick them to visit sites that will automatically deposit malware on their PCs.  Security software suites often include browser add-ons that check links that you click on and that use icons to indicate sketchy links on search results pages. Some of these browser tools, like McAfee's SiteAdvisor and AVG's LinkScanner, are available free to anyone.  Hackers aim to infect as many people as possible, so their choice of which celebrities to use as lures are a kind of dark measure of online star power -- and a sign of who the easy targets are.  Men, you are clearly the marks. Ms. Klum unseated 2010's Most Dangerous Celebrity, the actress Cameron Diaz, who dropped to No. 2. Women dominated the list's top 10 and included Jessica Biel, Katherine Heigl, Mila Kunis, Anna Paquin, Adriana Lima and Scarlett Johansson.  The only male celebrities in the top 10 were the CNN host Piers Morgan, who shockingly enough took the No. 3 spot, and the actor and heartthrob Brad Pitt, who tied for No. 10 with the actresses Emma Stone and Rachel McAdams. Interestingly, curiosity about sports stars and singers was a lot safer to indulge in. The tennis players Maria Sharapova and Andy Roddick dropped to No. 44 and No. 56, respectively, on this year's list, from Nos. 13 and 14 last year. The siinger Justin Bieber was No. 49, Rihanna and Carrie Underwood were tied at No. 51, and Lady Gaga trailed at No. 58.  And despite enormous publicity, the bad boys Charlie Sheen and Tiger Woods were not considered dangerous by McAfee. ""Male antics was not something that was targeted,"" said Gary J. Davis, director of consumer marketing.  Indeed, you could say they were embraced.   "
Sony Begins Phased Restoration of PlayStation Services,"Sony said on Saturday that it would begin restoring the PlayStation Network for its 77 million users after hackers infiltrated the service and forced it offline almost a month ago. Sony's PlayStation Network and Qriocity Service were incapacitated in the attack after a group of unknown hackers gained access to the company's servers, possibly stealing the personal information and credit card numbers of millions of users. Sony said in a press release that it was relaunching its online products with increased security following the cyberattacks. The company also defended its slow response to restoring services, saying it wanted to make sure its security was up to par before bringing products back online. ""The company has made considerable enhancements to the data security, including updating and adding advanced security technologies, additional software monitoring and penetration and vulnerability testing, and increased levels of encryption and additional firewalls,"" Sony wrote in the release. The company said it will be bringing services back online in a phased relaunch that will take place ""on a country by country basis."" The Sony data breach is one of the largest of its kind and has become the subject of data privacy debate in Congress.  "
VPN for the Masses,"If you've ever worked for a large (or even not so large) company, you may have encountered a virtual private network, or VPN. VPN is a technology that adds a layer of security to outside networks (like the one in your home, the airport, or a hotel room) that may not be as secure as what you have at the office. The short version of what VPN actually does is that it turns normal Internet communications - which can be decoded - into an encrypted jumble of nonsense that would be useless to anyone trying to intercept it. So even if you're on a very ""open"" Wi-Fi network at a coffee shop, your back and forth with the Internet remains as indecipherable as Keith Richards right after oral surgery. But while corporate America has long used VPN to keep its secrets secret, easy-to-use VPN technology has not, oddly, been available for individuals. Part of it may be the still-tepid demand. Many of us are aware that our online communications, including private e-mails and data typed into Web sites, could potentially be ""sniffed"" from the air by some scoundrel nearby. (Software for the purpose is easily available on the Internet.) But it seems rather unlikely, and we don't know what to do about it anyway. So we surf and pray - and maybe take the advice often offered by security experts to avoid shopping or banking online during these moments.  But increasingly there is something we can do about it. VPN products are cropping up for consumers and small businesses, extending to everyone the ability to use the Web privately, safely and anonymously. The prices, while not negligible, are manageable, particularly if you regularly transmit sensitive information on the road.  Among the options are Anonymizer Universal (Windows, Mac and iPhone/iPad; $79.99 a year, 14-day free trial) and Steganos Internet Anonym VPN (Windows; $15.95 a month, $99.95 a year). I also tried a new addition called PrivateWiFi, which was introduced in March by the start-up Private Communication Corporation for Windows and Mac ($9.95 a month or $84.95 a year, three-day free trial). The company is developing apps for iPhone, iPad and Android devices. Once installed, you know it's on if the PrivateWiFi icon is green. On PCs, the icon is located on the lower right in the Systray and, on Macs, in the bar at the top of the screen. Simple enough.  ""You don't have to be a geek to use it,"" says Kent Lawson, chief executive of Private Communication. ""It's protection analogous to antivirus and firewalls, and, in my opinion, it's the third leg.""  Behind PrivateWiFi is the encryption technology OpenVPN, geeky open-source software whose owner, OpenVPN Technologies, sells server software to companies and a hosted service to small businesses. The service ran successfully on my Wi-Fi network for two days. However, in a test at a popular Brooklyn cafe, it shut off twice without warning. I noticed that the icon turned red and clicked to reactivate it. PrivateWiFi inspected my logs and said the problem appeared to have been caused by the hot spot, but conceded it ought to add an alert. In general, you don't need to turn on PrivateWiFi while on a home network that's protected by a password known to only you and yours. With it on, transfer speeds may suffer slightly when downloading large files like movies, and battery life will be a bit shorter, Mr. Lawson says.  However, activating it will let you surf anonymously. Like other VPNs, PrivateWiFi will obscure your location by making it look like you connected to the Internet from wherever the VPN server is located. With its advanced settings, you can even pretend you're in Singapore or the Netherlands. Or if you're abroad and Hulu won't let you watch your favorite show, you could make it look as if you're home by choosing an American server.  "
Sony and Epsilon Agree to Testify Before Congress,"Sony has finally agreed to testify before a Congressional hearing that will be held by Representative Mary Bono Mack, the chairwoman of the House Subcommittee on Commerce, Manufacturing and Trade. The hearing will address the massive data breach that occurred last month on Sony's PlayStation Network and jeopardized millions of customers' personal information. Sony had declined to attend a previous hearing by the same subcommittee, saying at the time that it was currently involved in an ""ongoing intensive investigation and management of this criminal cyberattack."" The previous hearing explored  ""The Threat of Data Theft to American Consumers"" and the lack of privacy legislation to protect Americans. Ken Johnson, senior adviser and spokesman for Ms. Mack, said in an e-mail that the new hearing would focus on data security in the United States. It is scheduled for Thursday, June 2. Epsilon, a company that handles customer e-mails for many major corporations, has also agreed to testify before the subcommittee. A recent data breach at Epsilon exposed millions of people's e-mail addresses and passwords.  ""Both Sony and Epsilon have agreed to testify,"" Mr. Johnson said. ""Representing Sony will be Tim Schaaff, president of Sony Network Entertainment International as well as Epsilon General Counsel Jeanette Fitzgerald."" Sony also finally answered a number of questions asked by the subcommittee in a May 17 letter pertaining to the data breach and the steps Sony took to protect its 77 million customers. Since the huge cyberattack on the PlayStation Network, Sony has become the poster child for data and security reform in Congress. ""While Chairman Bono Mack remains critical of Sony's initial handling of the data breaches, she also is appreciative that the company has now agreed to testify,"" said Mr. Johnson. ""The chairman firmly believes that the lessons learned from both the Sony and Epsilon experiences can be instructive and guide us as we develop comprehensive data protection legislation."" Mr. Johnson said the subcommittee is expected to introduce new data and security legislation in the next few weeks.  "
Germans Condemn Police Use of Spyware,"BERLIN -- A group that calls itself the Chaos Computer Club prompted a public outcry here recently when it discovered that German state investigators were using spying software capable of turning a computer's webcam and microphone into a sophisticated surveillance device. The club, a German hacking organization, announced last Saturday it had analyzed the hard drives of people who had been investigated and discovered that they were infected with a Trojan horse program that gave the police the ability to log keystrokes, capture screenshots and activate cameras and microphones. The software exceeded the powers prescribed to the police by Germany's Federal Constitutional Court.  The public condemnation was swift and strong, renewing a national debate into how far the government can intrude into digital privacy. The Frankfurter Allgemeine Zeitung, a major newspaper, called the revelation a ''worst-case scenario for data security.'' Germany's justice minister, Sabine Leutheusser-Schnarrenberger, demanded an inquiry into the matter, saying that citizens ''must be protected from snooping with strict state control mechanisms.'' Peter Schaar, the federal commissioner for data protection, called for Parliament to enact legislation to put an end to the ''gray area'' between lawful and unlawful searches and surveillance on computers. ''In my opinion, this kind of infiltration through software is a deeper intrusion and a greater risk than simply listening in on a phone line,'' Mr. Schaar said in an interview. ''The Bundestag has to decide to what extent something like this is allowed and to what extent it is restricted,'' Mr. Schaar said, referring to the German Parliament. Germans are particularly sensitive to questions of privacy and data collection as a result of their experiences under the Nazi dictatorship, where personal details could be a matter of life and death. As a result, the country has some of the strongest data protection laws in the world, elevating an individual's right to privacy above any perceived public right to know. ''Now Germans are beginning to recognize that this is a core problem of all people,'' said Bernd Schlomer, the vice chairman of Germany's Pirate Party, a new party that recently won 8.9 percent of the vote in Berlin's state elections and emphasizes Internet freedom and online privacy issues. He compared the awakening toward the significance of online privacy to the growing awareness of environmental problems in the 1960s and '70s. In 2007, Germany's Interior Ministry announced that it had developed software that could scan the hard drives of terrorism suspects. The Federal Constitutional Court responded the next year with a ruling that limited such incursions and guaranteed ''confidentiality and integrity in information technology systems.'' Federal investigators said that they were not using this software, but several states, including Lower Saxony and Baden-Wurttemberg admitted that they had employed it. ''In essence it is about how we fight crime in a digital age,'' said Dieter Wiefelsputz, an expert on domestic security with the left-leaning Social Democrats. Far-reaching computer surveillance ''shouldn't be used for car thieves but instead for the most serious crimes. That has to be considered in the laws,'' he said. Officials in Bavaria have said they had used the spying software to monitor suspects' e-mails and phone calls over the Internet and have captured tens of thousands of screenshots in cases involving theft, fraud and illegal performance-enhancing drugs. Officials have denied employing the software's capability of seizing control of computers' cameras and microphones, technology that evokes action films. The debate in Germany is evidence of the degree to which technology has permeated everyday lives, where friendships are made and nurtured on social-networking sites, and photographs and diaries are stored on hard drives. Privacy advocates argue that the difference between what authorities can glean from a telephone conversation and what can be discovered on a computer is as broad as the distance between what one says out loud and what one is thinking to oneself. ''Our private data are our stored thoughts,'' Mr. Schlomer said. Security experts say the German debate over police surveillance of computers and the demands for legislation restricting the practice will increasingly be necessary across the globe as the kinds of communication captured through wiretaps shift more and more to encrypted programs like Skype. But the software discovered by the hacker group, dubbed ''State Trojan'' or ''R2D2,'' after a line of code including the Star Wars robot's name, can do more than eavesdrop on phone calls. It was the ability to remotely control computers that led to charges from leading politicians that the state had crossed into Orwellian territory. ''People have some idea of the risks they face online from criminals,'' said Mikko H. Hypponen, the chief research officer at F-Secure Corporation, an Internet security firm based in Helsinki, Finland. ''I don't think they really know exactly the same methods are used against them by governments, that Germany, France, the United States could be doing this.'' Analysts, as well as the hackers who discovered the software, said the programming was amateurish. ''We were surprised by how bad the quality of the code was,'' said Frank Rieger, a spokesman for the Chaos Computer Club. A team of about 10 people analyzed the software for the group before they announced the results. The hackers said that the program also left the computers open to further malicious attacks, the equivalent of the police's leaving the back door of a house open after searching it. Still, the program falls short of what the most sophisticated hackers, organized criminals and other thieves of credit card and banking information have at their disposal.  "
